f,s_u,s_o,n
1000,9.8,44.4,3
1500,1.5,35.7,4
2000,5.0,30.7,4
2500,1.3,35.7,6
3000,4.8,33.8,6
3500,3.3,33.0,7
4000,2.7,33.0,8
