t,x,y,vx,vy
0.017,-0.102,-4.772E-2,3.535E-3,2.673E-2
0.033,-0.102,-4.727E-2,1.408E-3,2.730E-2
0.050,-0.102,-4.681E-2,8.831E-3,3.534E-2
0.067,-0.101,-4.609E-2,2.419E-2,3.016E-2
0.083,-0.101,-4.580E-2,1.549E-2,3.020E-2
0.100,-0.101,-4.508E-2,8.289E-3,2.022E-2
0.117,-0.101,-4.513E-2,1.728E-2,3.686E-3
0.133,-0.100,-4.496E-2,1.408E-2,2.659E-2
0.150,-0.100,-4.424E-2,-1.361E-4,2.773E-2
0.167,-0.100,-4.404E-2,6.017E-3,1.326E-2
0.183,-9.990E-2,-4.380E-2,2.086E-2,9.948E-3
0.200,-9.958E-2,-4.370E-2,0.136,0.170
0.217,-9.535E-2,-3.813E-2,0.257,0.308
0.233,-9.100E-2,-3.344E-2,0.250,0.290
0.250,-8.703E-2,-2.847E-2,0.356,0.444
0.267,-7.913E-2,-1.865E-2,0.353,0.436
0.283,-7.526E-2,-1.395E-2,0.359,0.438
0.300,-6.717E-2,-4.065E-3,0.354,0.444
0.317,-6.347E-2,8.446E-4,0.233,0.285
0.333,-5.940E-2,5.423E-3,0.237,0.284
0.350,-5.555E-2,1.033E-2,0.352,0.432
0.367,-4.765E-2,1.983E-2,0.355,0.440
0.383,-4.373E-2,2.498E-2,0.238,0.292
0.400,-3.970E-2,2.957E-2,0.362,0.424
0.417,-3.166E-2,3.911E-2,0.357,0.434
0.433,-2.781E-2,4.405E-2,0.242,0.287
0.450,-2.361E-2,4.868E-2,0.355,0.441
0.467,-1.597E-2,5.874E-2,0.351,0.439
0.483,-1.190E-2,6.330E-2,0.240,0.289
0.500,-7.979E-3,6.839E-2,0.350,0.435
0.517,-2.485E-4,7.781E-2,0.353,0.433
0.533,3.797E-3,8.283E-2,0.237,0.296
0.550,7.644E-3,8.769E-2,0.360,0.432
0.567,1.579E-2,9.724E-2,0.359,0.443
0.583,1.960E-2,0.102,0.227,0.313
0.600,2.337E-2,0.108,0.227,0.308
0.617,2.716E-2,0.113,0.355,0.427
0.633,3.519E-2,0.122,0.348,0.429
0.650,3.877E-2,0.127,0.222,0.298
