t,x,y,vx,vy
0.017,-3.136E-2,-8.123E-2,5.904E-2,0.549
0.033,-3.012E-2,-6.912E-2,6.141E-2,0.545
0.050,-2.932E-2,-6.306E-2,6.021E-2,0.544
0.067,-2.811E-2,-5.099E-2,4.981E-2,0.542
0.083,-2.766E-2,-4.499E-2,3.788E-2,0.360
0.100,-2.685E-2,-3.898E-2,6.851E-2,0.533
0.117,-2.537E-2,-2.723E-2,4.337E-2,0.516
0.133,-2.541E-2,-2.177E-2,7.584E-3,0.340
0.150,-2.512E-2,-1.589E-2,6.018E-2,0.548
0.167,-2.340E-2,-3.497E-3,8.593E-2,0.539
0.183,-2.226E-2,2.088E-3,5.928E-2,0.333
0.200,-2.142E-2,7.619E-3,4.885E-2,0.336
0.217,-2.063E-2,1.327E-2,8.012E-2,0.508
0.233,-1.875E-2,2.457E-2,8.050E-2,0.506
0.250,-1.794E-2,3.014E-2,7.841E-2,0.501
0.267,-1.614E-2,4.126E-2,8.323E-2,0.502
0.283,-1.517E-2,4.688E-2,6.377E-2,0.336
0.300,-1.401E-2,5.246E-2,9.844E-2,0.494
0.317,-1.189E-2,6.334E-2,9.267E-2,0.493
0.333,-1.092E-2,6.890E-2,6.711E-2,0.331
0.350,-9.652E-3,7.439E-2,9.816E-2,0.491
0.367,-7.652E-3,8.527E-2,8.695E-2,0.489
0.383,-6.754E-3,9.069E-2,6.039E-2,0.332
0.400,-5.639E-3,9.635E-2,9.617E-2,0.492
0.417,-3.548E-3,0.107,9.897E-2,0.484
0.433,-2.340E-3,0.112,6.927E-2,0.327
0.450,-1.239E-3,0.118,9.872E-2,0.493
0.467,9.504E-4,0.129,0.102,0.491
0.483,2.147E-3,0.134,6.409E-2,0.323
0.500,3.087E-3,0.140,6.648E-2,0.328
0.517,4.362E-3,0.145,0.106,0.490
0.533,6.631E-3,0.156,0.105,0.484
0.550,7.847E-3,0.161,6.809E-2,0.324
0.567,8.901E-3,0.167,6.661E-2,0.324
0.583,1.007E-2,0.172,0.103,0.484
0.600,1.233E-2,0.183,0.106,0.488
