t,x,y,vx,vy
0.017,-1.446E-2,-7.623E-3,-8.891E-2,1.718E-3
0.033,-1.596E-2,-7.640E-3,-5.654E-2,-2.677E-3
0.050,-1.634E-2,-7.712E-3,-6.002E-2,-6.345E-3
0.067,-1.796E-2,-7.852E-3,-5.975E-2,-3.634E-3
0.083,-1.833E-2,-7.833E-3,-5.195E-2,-7.967E-3
0.100,-1.969E-2,-8.117E-3,-4.586E-2,7.034E-2
0.117,-1.986E-2,-5.489E-3,3.738E-2,0.309
0.133,-1.845E-2,2.171E-3,8.631E-2,0.468
0.150,-1.699E-2,1.011E-2,6.945E-2,0.354
0.167,-1.613E-2,1.398E-2,4.072E-2,0.236
0.183,-1.563E-2,1.798E-2,6.679E-2,0.345
0.200,-1.390E-2,2.547E-2,6.926E-2,0.343
0.217,-1.332E-2,2.940E-2,5.498E-2,0.351
0.233,-1.207E-2,3.718E-2,4.898E-2,0.354
0.250,-1.169E-2,4.119E-2,5.309E-2,0.345
0.267,-1.030E-2,4.868E-2,5.367E-2,0.341
0.283,-9.899E-3,5.257E-2,5.346E-2,0.347
0.300,-8.520E-3,6.023E-2,7.192E-2,0.465
0.317,-7.501E-3,6.806E-2,4.507E-2,0.352
0.333,-7.018E-3,7.197E-2,5.732E-2,0.349
0.350,-5.591E-3,7.969E-2,5.702E-2,0.344
0.367,-5.117E-3,8.344E-2,6.669E-2,0.348
0.383,-3.368E-3,9.129E-2,9.147E-2,0.467
0.400,-2.068E-3,9.902E-2,4.920E-2,0.348
0.417,-1.728E-3,0.103,2.739E-2,0.231
0.433,-1.155E-3,0.107,6.148E-2,0.354
0.450,3.216E-4,0.115,8.254E-2,0.477
0.467,1.596E-3,0.123,6.051E-2,0.354
0.483,2.339E-3,0.126,5.072E-2,0.355
0.500,3.287E-3,0.134,4.838E-2,0.354
0.517,3.951E-3,0.138,5.538E-2,0.353
