t,x,y,vx,vy
0.017,-0.144,-0.140,0.697,2.879E-2
0.033,-0.136,-0.140,0.704,2.691E-2
0.050,-0.120,-0.139,0.945,3.295E-2
0.067,-0.105,-0.139,0.701,2.023E-2
0.083,-9.687E-2,-0.138,0.474,1.462E-2
0.100,-8.889E-2,-0.138,0.697,1.444E-2
0.117,-7.365E-2,-0.138,0.573,-3.847E-2
0.133,-6.977E-2,-0.139,0.325,-0.142
0.150,-6.282E-2,-0.143,0.321,-0.145
0.167,-5.907E-2,-0.144,0.324,-0.152
0.183,-5.203E-2,-0.148,0.329,-0.157
0.200,-4.809E-2,-0.150,0.227,-0.105
0.217,-4.445E-2,-0.151,0.324,-0.152
0.233,-3.730E-2,-0.155,0.328,-0.153
0.250,-3.353E-2,-0.156,0.326,-0.154
0.267,-2.645E-2,-0.160,0.326,-0.149
0.283,-2.267E-2,-0.161,0.328,-0.153
0.300,-1.553E-2,-0.165,0.328,-0.159
0.317,-1.172E-2,-0.167,0.220,-0.106
0.333,-8.199E-3,-0.168,0.320,-0.159
0.350,-1.065E-3,-0.172,0.325,-0.162
0.367,2.644E-3,-0.174,0.327,-0.160
0.383,9.818E-3,-0.177,0.325,-0.154
0.400,1.348E-2,-0.179,0.321,-0.161
0.417,2.051E-2,-0.183,0.317,-0.165
0.433,2.404E-2,-0.184,0.214,-0.103
0.450,2.766E-2,-0.186,0.318,-0.159
0.467,3.463E-2,-0.190,0.419,-0.213
0.483,4.163E-2,-0.193,0.319,-0.155
0.500,4.528E-2,-0.195,0.211,-0.106
0.517,4.867E-2,-0.197,0.315,-0.164
0.533,5.577E-2,-0.200,0.319,-0.162
