t,x,y,vx,vy
0.017,-5.867E-2,-9.317E-2,0.403,0.650
0.033,-5.210E-2,-8.204E-2,0.308,0.497
0.050,-4.840E-2,-7.659E-2,0.327,0.495
0.067,-4.120E-2,-6.554E-2,0.318,0.495
0.083,-3.780E-2,-6.009E-2,0.320,0.496
0.100,-3.052E-2,-4.901E-2,0.261,0.333
0.117,-2.910E-2,-4.898E-2,0.100,-0.146
0.133,-2.718E-2,-5.387E-2,0.112,-0.294
0.150,-2.538E-2,-5.879E-2,8.537E-2,-0.223
0.167,-2.433E-2,-6.129E-2,5.364E-2,-0.152
0.183,-2.359E-2,-6.385E-2,8.114E-2,-0.224
0.200,-2.163E-2,-6.875E-2,8.802E-2,-0.225
0.217,-2.066E-2,-7.136E-2,8.294E-2,-0.233
0.233,-1.886E-2,-7.651E-2,8.052E-2,-0.234
0.250,-1.797E-2,-7.915E-2,7.470E-2,-0.230
0.267,-1.637E-2,-8.418E-2,7.575E-2,-0.232
0.283,-1.545E-2,-8.689E-2,8.531E-2,-0.236
0.300,-1.353E-2,-9.205E-2,0.110,-0.314
0.317,-1.180E-2,-9.736E-2,7.951E-2,-0.230
0.333,-1.088E-2,-9.972E-2,8.326E-2,-0.229
0.350,-9.024E-3,-0.105,8.260E-2,-0.239
0.367,-8.127E-3,-0.108,8.854E-2,-0.240
0.383,-6.072E-3,-0.113,0.107,-0.318
0.400,-4.572E-3,-0.118,7.517E-2,-0.233
0.417,-3.567E-3,-0.121,5.333E-2,-0.154
0.433,-2.794E-3,-0.123,7.226E-2,-0.244
0.450,-1.158E-3,-0.129,9.633E-2,-0.330
0.467,4.166E-4,-0.134,8.094E-2,-0.242
0.483,1.540E-3,-0.137,7.879E-2,-0.245
0.500,3.043E-3,-0.143,7.325E-2,-0.246
0.517,3.982E-3,-0.145,8.188E-2,-0.240
