t,x,y,vx,vy
0.017,2.413E-2,-0.129,0.156,0.756
0.033,2.772E-2,-0.112,0.159,0.754
0.050,2.944E-2,-0.104,0.150,0.769
0.067,3.271E-2,-8.667E-2,0.144,0.764
0.083,3.424E-2,-7.856E-2,0.106,0.468
0.100,3.623E-2,-7.109E-2,0.221,0.286
0.117,4.159E-2,-6.902E-2,0.246,8.501E-2
0.133,4.444E-2,-6.825E-2,0.243,6.712E-2
0.150,4.968E-2,-6.678E-2,0.240,7.143E-2
0.167,5.243E-2,-6.587E-2,0.162,5.167E-2
0.183,5.509E-2,-6.506E-2,0.237,7.227E-2
0.200,6.034E-2,-6.346E-2,0.239,6.077E-2
0.217,6.306E-2,-6.304E-2,0.157,4.037E-2
0.233,6.557E-2,-6.212E-2,0.158,5.708E-2
0.250,6.832E-2,-6.113E-2,0.243,6.924E-2
0.267,7.368E-2,-5.981E-2,0.235,5.879E-2
0.283,7.617E-2,-5.917E-2,0.154,4.711E-2
0.300,7.881E-2,-5.824E-2,0.233,7.126E-2
0.317,8.394E-2,-5.680E-2,0.237,6.104E-2
0.333,8.671E-2,-5.621E-2,0.161,3.330E-2
0.350,8.933E-2,-5.569E-2,0.231,6.305E-2
0.367,9.439E-2,-5.410E-2,0.220,6.088E-2
0.383,9.665E-2,-5.366E-2,0.148,4.076E-2
0.400,9.932E-2,-5.275E-2,0.220,6.485E-2
0.417,0.104,-5.150E-2,0.214,5.734E-2
0.433,0.106,-5.083E-2,0.225,5.015E-2
0.450,0.112,-4.983E-2,0.223,5.848E-2
0.467,0.114,-4.888E-2,0.148,4.174E-2
0.483,0.116,-4.843E-2,0.217,5.596E-2
0.500,0.121,-4.702E-2,0.213,5.345E-2
0.517,0.124,-4.665E-2,0.144,2.874E-2
0.533,0.126,-4.606E-2,0.216,5.479E-2
0.550,0.131,-4.483E-2,0.215,4.961E-2
0.567,0.133,-4.441E-2,0.144,2.782E-2
0.583,0.136,-4.390E-2,0.208,5.800E-2
0.600,0.140,-4.247E-2,0.198,5.701E-2
0.617,0.142,-4.200E-2,0.127,2.945E-2
0.633,0.144,-4.149E-2,0.206,5.411E-2
0.650,0.149,-4.020E-2,0.218,5.527E-2
0.667,0.152,-3.965E-2,0.145,3.415E-2
0.683,0.154,-3.906E-2,0.206,5.252E-2
0.700,0.158,-3.790E-2,0.201,5.461E-2
0.717,0.161,-3.724E-2,0.189,4.984E-2
0.733,0.165,-3.624E-2,0.192,4.337E-2
0.750,0.167,-3.579E-2,0.133,3.154E-2
0.767,0.169,-3.519E-2,0.130,3.784E-2
0.783,0.171,-3.453E-2,0.188,5.590E-2
0.800,0.175,-3.332E-2,0.190,5.158E-2
0.817,0.178,-3.281E-2,0.131,3.403E-2
0.833,0.180,-3.219E-2,0.196,4.582E-2
0.850,0.184,-3.128E-2,0.196,5.024E-2
0.867,0.186,-3.051E-2,0.130,2.391E-2
0.883,0.188,-3.049E-2,0.188,3.710E-2
