t,x,y,θr,vx,vy
0.017,0.152,-7.244E-2,-25.5,-0.938,0.467
0.033,0.131,-6.230E-2,-25.4,-0.938,0.458
0.050,0.121,-5.718E-2,-25.3,-0.632,0.313
0.067,0.110,-5.188E-2,-25.2,-0.951,0.471
0.083,8.905E-2,-4.149E-2,-25.0,-0.949,0.467
0.100,7.849E-2,-3.631E-2,-24.8,-0.952,0.464
0.117,5.733E-2,-2.603E-2,-24.4,-0.943,0.463
0.133,4.704E-2,-2.087E-2,-23.9,-0.615,0.307
0.150,3.681E-2,-1.580E-2,-23.2,-0.937,0.465
0.167,1.582E-2,-5.355E-3,-18.7,-0.823,0.452
0.183,9.370E-3,-7.381E-4,-4.5,6.658E-2,0.169
0.200,1.804E-2,2.804E-4,0.9,0.866,9.391E-2
0.217,3.822E-2,2.392E-3,3.6,0.908,9.207E-2
0.233,4.831E-2,3.350E-3,4.0,0.912,9.120E-2
0.250,6.862E-2,5.432E-3,4.5,0.910,9.625E-2
0.267,7.863E-2,6.558E-3,4.8,0.604,6.592E-2
0.283,8.877E-2,7.630E-3,4.9,0.914,9.492E-2
0.300,0.109,9.722E-3,5.1,0.912,9.021E-2
0.317,0.119,1.064E-2,5.1,0.610,5.486E-2
0.333,0.129,1.155E-2,5.1,0.916,9.704E-2
0.350,0.150,1.387E-2,5.3,0.913,0.104
0.367,0.160,1.502E-2,5.4,0.607,6.682E-2
0.383,0.170,1.610E-2,5.4,0.913,9.923E-2
0.400,0.190,1.833E-2,5.5,0.916,9.887E-2
0.417,0.200,1.939E-2,5.5,0.609,6.200E-2
0.433,0.211,2.039E-2,5.5,0.921,9.678E-2
0.450,0.231,2.262E-2,5.6,0.921,0.103
0.467,0.241,2.384E-2,5.6,0.609,7.057E-2
0.483,0.251,2.497E-2,5.7,0.923,9.727E-2
0.500,0.272,2.708E-2,5.7,0.927,9.740E-2
0.517,0.282,2.822E-2,5.7,0.611,6.528E-2
0.533,0.292,2.926E-2,5.7,0.924,9.153E-2
0.550,0.313,3.127E-2,5.7,0.927,9.343E-2
0.567,0.323,3.237E-2,5.7,0.618,6.847E-2
0.583,0.334,3.355E-2,5.7,0.928,8.617E-2
0.600,0.354,3.525E-2,5.7,0.917,9.427E-2
0.617,0.364,3.670E-2,5.8,0.614,6.825E-2
0.633,0.375,3.752E-2,5.7,0.930,8.856E-2
0.650,0.395,3.965E-2,5.7,0.924,9.619E-2
0.667,0.406,4.073E-2,5.7,0.920,9.372E-2
0.683,0.426,4.277E-2,5.7,0.915,9.443E-2
0.700,0.436,4.388E-2,5.7,0.920,9.522E-2
0.717,0.457,4.595E-2,5.7,0.919,9.095E-2
0.733,0.467,4.691E-2,5.7,0.603,5.967E-2
0.750,0.477,4.793E-2,5.7,0.910,9.679E-2
