t,x,y,vx,vy
0.017,-3.936E-2,-0.120,-9.852E-3,-2.283E-3
0.033,-3.941E-2,-0.120,-6.391E-3,-2.317E-3
0.050,-3.957E-2,-0.120,-1.258E-2,-1.244E-3
0.067,-3.983E-2,-0.120,-8.642E-3,6.453E-4
0.083,-3.986E-2,-0.120,-1.913E-3,-2.671E-5
0.100,-3.989E-2,-0.120,1.582E-2,3.107E-3
0.117,-3.933E-2,-0.120,0.262,0.109
0.133,-3.117E-2,-0.116,0.745,0.323
0.150,-1.450E-2,-0.109,0.747,0.329
0.167,-6.266E-3,-0.105,0.744,0.325
0.183,1.032E-2,-9.835E-2,0.755,0.318
0.200,1.890E-2,-9.480E-2,0.508,0.217
0.217,2.726E-2,-9.110E-2,0.746,0.320
0.233,4.377E-2,-8.413E-2,0.742,0.317
0.250,5.199E-2,-8.053E-2,0.741,0.319
0.267,6.846E-2,-7.350E-2,0.744,0.313
0.283,7.680E-2,-7.008E-2,0.744,0.314
0.300,9.325E-2,-6.304E-2,0.743,0.315
0.317,0.102,-5.958E-2,0.496,0.211
0.333,0.110,-5.599E-2,0.740,0.315
0.350,0.126,-4.908E-2,0.736,0.309
0.367,0.134,-4.567E-2,0.735,0.319
0.383,0.151,-3.845E-2,0.741,0.311
0.400,0.159,-3.529E-2,0.739,0.309
0.417,0.175,-2.815E-2,0.735,0.319
0.433,0.184,-2.466E-2,0.490,0.211
0.450,0.192,-2.111E-2,0.733,0.317
0.467,0.208,-1.410E-2,0.974,0.412
0.483,0.224,-7.366E-3,0.739,0.307
0.500,0.233,-3.858E-3,0.480,0.208
0.517,0.240,-4.419E-4,0.723,0.316
0.533,0.257,6.667E-3,0.733,0.314
