t,x,y,vx,vy
0.017,0.232,1.356E-2,-0.248,2.489E-2
0.033,0.228,1.413E-2,-0.376,4.207E-2
0.050,0.219,1.497E-2,-0.377,3.450E-2
0.067,0.215,1.528E-2,-0.376,4.116E-2
0.083,0.207,1.634E-2,-0.376,4.266E-2
0.100,0.203,1.671E-2,-0.381,4.492E-2
0.117,0.194,1.784E-2,-0.378,4.197E-2
0.133,0.190,1.811E-2,-0.378,3.417E-2
0.150,0.181,1.898E-2,-0.382,3.812E-2
0.167,0.177,1.938E-2,-0.380,4.303E-2
0.183,0.169,2.041E-2,-0.378,4.441E-2
0.200,0.165,2.086E-2,-0.388,3.644E-2
0.217,0.156,2.162E-2,-0.391,3.057E-2
0.233,0.152,2.188E-2,-0.259,2.456E-2
0.250,0.147,2.244E-2,-0.390,4.528E-2
0.267,0.139,2.338E-2,-0.387,3.697E-2
0.283,0.134,2.368E-2,-0.387,3.384E-2
0.300,0.126,2.451E-2,-0.385,4.101E-2
0.317,0.122,2.504E-2,-0.389,3.839E-2
0.333,0.113,2.579E-2,-0.395,3.623E-2
0.350,0.108,2.625E-2,-0.393,4.196E-2
0.367,9.964E-2,2.719E-2,-0.394,4.285E-2
0.383,9.523E-2,2.768E-2,-0.394,4.191E-2
0.400,8.651E-2,2.859E-2,-0.396,4.260E-2
0.417,8.204E-2,2.910E-2,-0.265,2.799E-2
0.433,7.767E-2,2.952E-2,-0.394,3.802E-2
0.450,6.889E-2,3.037E-2,-0.393,3.665E-2
0.467,6.457E-2,3.074E-2,-0.394,3.524E-2
0.483,5.576E-2,3.154E-2,-0.399,3.623E-2
0.500,5.127E-2,3.195E-2,-0.398,4.089E-2
0.517,4.249E-2,3.290E-2,-0.395,3.736E-2
0.533,3.810E-2,3.320E-2,-0.266,1.983E-2
0.550,3.361E-2,3.356E-2,-0.400,5.088E-2
0.567,2.478E-2,3.489E-2,-0.395,5.563E-2
0.583,2.045E-2,3.542E-2,-0.386,4.229E-2
0.600,1.191E-2,3.630E-2,-0.387,3.354E-2
0.617,7.549E-3,3.654E-2,-0.261,2.169E-2
0.633,3.215E-3,3.703E-2,-0.399,3.752E-2
0.650,-5.757E-3,3.779E-2,-0.404,3.825E-2
0.667,-1.024E-2,3.830E-2,-0.409,3.944E-2
0.683,-1.939E-2,3.910E-2,-0.406,3.395E-2
0.700,-2.378E-2,3.943E-2,-7.748E-2,6.253E-2
0.717,-2.197E-2,4.119E-2,0.219,0.172
0.733,-1.648E-2,4.518E-2,0.246,0.183
0.750,-1.378E-2,4.727E-2,0.247,0.190
0.767,-8.257E-3,5.152E-2,0.239,0.190
0.783,-5.831E-3,5.360E-2,0.151,0.121
0.800,-3.238E-3,5.554E-2,0.228,0.176
0.817,1.763E-3,5.947E-2,0.223,0.177
0.833,4.199E-3,6.144E-2,0.149,0.116
0.850,6.741E-3,6.335E-2,0.228,0.177
0.867,1.180E-2,6.736E-2,0.229,0.183
0.883,1.436E-2,6.944E-2,0.234,0.180
0.900,1.959E-2,7.337E-2,0.241,0.178
0.917,2.239E-2,7.538E-2,0.246,0.187
0.933,2.778E-2,7.961E-2,0.235,0.191
0.950,3.022E-2,8.177E-2,0.147,0.126
0.967,3.269E-2,8.381E-2,0.226,0.188
0.983,3.775E-2,8.803E-2,0.221,0.188
1.000,4.006E-2,9.006E-2,0.215,0.183
1.017,4.493E-2,9.414E-2,0.220,0.185
1.033,4.739E-2,9.622E-2,0.227,0.187
1.050,5.251E-2,0.100,0.236,0.184
1.067,5.524E-2,0.102,0.157,0.121
1.083,5.774E-2,0.104,0.231,0.188
1.100,6.293E-2,0.109,0.224,0.192
1.117,6.521E-2,0.111,0.209,0.195
1.133,6.990E-2,0.115,0.215,0.191
1.150,7.238E-2,0.117,0.214,0.195
1.167,7.703E-2,0.122,0.209,0.198
1.183,7.934E-2,0.124,0.142,0.129
1.200,8.178E-2,0.126,0.217,0.187
1.217,8.658E-2,0.130,0.218,0.185
1.233,8.903E-2,0.132,0.217,0.187
1.250,9.380E-2,0.136,0.209,0.186
1.267,9.599E-2,0.138,0.196,0.189
1.283,0.100,0.143,0.190,0.193
1.300,0.102,0.145,0.187,0.194
1.317,0.107,0.149,0.194,0.192
1.333,0.109,0.151,0.207,0.199
1.350,0.113,0.156,0.210,0.202
1.367,0.116,0.158,0.136,0.129
1.383,0.118,0.160,0.201,0.195
1.400,0.122,0.164,0.202,0.195
1.417,0.125,0.166,0.193,0.192
1.433,0.129,0.171,0.180,0.192
1.450,0.131,0.173,0.173,0.192
1.467,0.135,0.177,0.180,0.191
