t,x,y,vx,vy
0.017,-3.304E-2,-3.828E-2,-4.618E-3,-3.716E-2
0.033,-3.318E-2,-3.920E-2,-5.757E-3,-3.783E-2
0.050,-3.323E-2,-3.954E-2,-2.656E-3,-3.644E-2
0.067,-3.327E-2,-4.041E-2,-1.301E-3,-3.310E-2
0.083,-3.328E-2,-4.064E-2,-1.761E-3,-1.863E-2
0.100,-3.333E-2,-4.104E-2,2.505E-3,-4.797E-3
0.117,-3.319E-2,-4.080E-2,2.006E-2,9.031E-3
0.133,-3.266E-2,-4.073E-2,9.970E-2,3.737E-2
0.150,-2.987E-2,-3.956E-2,0.135,7.346E-2
0.167,-2.815E-2,-3.829E-2,0.114,7.800E-2
0.183,-2.608E-2,-3.696E-2,0.204,0.144
0.200,-2.136E-2,-3.350E-2,0.225,0.183
0.217,-1.859E-2,-3.087E-2,0.167,0.168
0.233,-1.578E-2,-2.791E-2,0.169,0.180
0.250,-1.296E-2,-2.488E-2,0.244,0.319
0.267,-7.645E-3,-1.729E-2,0.239,0.362
0.283,-5.003E-3,-1.281E-2,0.150,0.293
0.300,-2.649E-3,-7.530E-3,0.196,0.481
0.317,1.547E-3,3.218E-3,0.176,0.503
0.333,3.204E-3,9.249E-3,8.584E-2,0.355
0.350,4.408E-3,1.504E-2,9.458E-2,0.572
0.367,6.356E-3,2.832E-2,6.672E-2,0.603
0.383,6.632E-3,3.513E-2,6.216E-3,0.420
0.400,6.563E-3,4.232E-2,-4.622E-2,0.634
0.417,5.091E-3,5.625E-2,-8.463E-2,0.626
0.433,3.742E-3,6.319E-2,-0.148,0.613
0.450,1.603E-4,7.668E-2,-0.183,0.605
0.467,-2.371E-3,8.335E-2,-0.159,0.388
0.483,-5.138E-3,8.961E-2,-0.273,0.546
0.500,-1.149E-2,0.102,-0.304,0.525
0.517,-1.528E-2,0.107,-0.228,0.328
0.533,-1.908E-2,0.112,-0.357,0.431
0.550,-2.717E-2,0.121,-0.373,0.398
0.567,-3.150E-2,0.126,-0.256,0.233
0.583,-3.571E-2,0.129,-0.381,0.286
0.600,-4.421E-2,0.135,-0.378,0.263
0.617,-4.832E-2,0.138,-0.242,0.142
0.633,-5.228E-2,0.140,-0.334,0.156
0.650,-5.947E-2,0.143,-0.308,0.121
0.667,-6.256E-2,0.144,-0.174,5.240E-2
0.683,-6.526E-2,0.145,-0.227,6.319E-2
0.700,-7.013E-2,0.146,-0.200,4.107E-2
0.717,-7.194E-2,0.146,-0.131,1.355E-2
0.733,-7.449E-2,0.147,-9.649E-2,1.083E-2
0.750,-7.516E-2,0.147,-3.287E-2,8.505E-3
0.767,-7.559E-2,0.147,-1.384E-2,8.092E-3
0.783,-7.562E-2,0.147,3.785E-2,2.711E-2
0.800,-7.433E-2,0.148,7.575E-2,4.321E-2
0.817,-7.310E-2,0.148,8.347E-2,4.714E-2
0.833,-7.154E-2,0.149,0.163,0.113
0.850,-6.767E-2,0.152,0.186,0.138
0.867,-6.535E-2,0.154,0.140,0.121
0.883,-6.299E-2,0.156,0.228,0.228
