t,x,y,vx,vy
0.017,-2.388E-2,-0.135,-3.913E-2,0.352
0.033,-2.412E-2,-0.131,-2.724E-2,0.232
0.050,-2.478E-2,-0.127,-6.184E-2,0.358
0.067,-2.618E-2,-0.119,-6.888E-2,0.359
0.083,-2.708E-2,-0.115,-4.332E-2,0.244
0.100,-2.762E-2,-0.111,-3.901E-2,0.237
0.117,-2.838E-2,-0.107,-6.357E-2,0.365
0.133,-2.974E-2,-9.901E-2,-5.637E-2,0.365
0.150,-3.026E-2,-9.519E-2,-2.973E-2,0.241
0.167,-3.073E-2,-9.098E-2,-5.652E-2,0.370
0.183,-3.214E-2,-8.284E-2,-6.807E-2,0.369
0.200,-3.300E-2,-7.867E-2,-4.743E-2,0.254
0.217,-3.372E-2,-7.438E-2,-6.534E-2,0.380
0.233,-3.518E-2,-6.602E-2,-6.721E-2,0.371
0.250,-3.596E-2,-6.202E-2,-4.986E-2,0.253
0.267,-3.684E-2,-5.760E-2,-4.613E-2,0.263
0.283,-3.750E-2,-5.326E-2,-7.177E-2,0.388
0.300,-3.923E-2,-4.467E-2,-9.618E-2,0.518
0.317,-4.071E-2,-3.599E-2,-6.552E-2,0.393
0.333,-4.142E-2,-3.158E-2,-3.863E-2,0.264
0.350,-4.200E-2,-2.721E-2,-6.345E-2,0.392
0.367,-4.353E-2,-1.852E-2,-7.186E-2,0.397
0.383,-4.439E-2,-1.398E-2,-8.059E-2,0.409
0.400,-4.622E-2,-4.887E-3,-8.136E-2,0.412
0.417,-4.710E-2,-2.409E-4,-4.804E-2,0.276
0.433,-4.782E-2,4.316E-3,-3.645E-2,0.272
0.450,-4.832E-2,8.810E-3,-7.805E-2,0.412
0.467,-5.042E-2,1.806E-2,-8.999E-2,0.418
0.483,-5.132E-2,2.273E-2,-7.402E-2,0.429
0.500,-5.289E-2,3.237E-2,-6.641E-2,0.430
0.517,-5.353E-2,3.705E-2,-4.611E-2,0.285
0.533,-5.443E-2,4.189E-2,-6.961E-2,0.436
0.550,-5.585E-2,5.159E-2,-6.283E-2,0.435
0.567,-5.652E-2,5.639E-2,-4.499E-2,0.294
0.583,-5.735E-2,6.138E-2,-7.120E-2,0.448
0.600,-5.889E-2,7.132E-2,-6.591E-2,0.446
0.617,-5.955E-2,7.624E-2,-3.478E-2,0.301
0.633,-6.005E-2,8.134E-2,-5.259E-2,0.448
0.650,-6.130E-2,9.118E-2,-6.175E-2,0.447
0.667,-6.211E-2,9.623E-2,-3.739E-2,0.310
0.683,-6.255E-2,0.102,-5.656E-2,0.462
0.700,-6.400E-2,0.112,-6.049E-2,0.457
0.717,-6.456E-2,0.117,-4.016E-2,0.307
0.733,-6.534E-2,0.122,-4.918E-2,0.469
0.750,-6.620E-2,0.132,-3.133E-2,0.474
