t,x,y,vx,vy
0.017,-1.247E-2,-8.540E-2,3.953E-2,0.831
0.033,-1.150E-2,-6.689E-2,4.122E-2,0.828
0.050,-1.110E-2,-5.781E-2,3.798E-2,0.829
0.067,-1.024E-2,-3.926E-2,3.783E-2,0.825
0.083,-9.836E-3,-3.032E-2,3.309E-2,0.335
0.100,-9.136E-3,-2.809E-2,6.370E-2,9.358E-2
0.117,-7.713E-3,-2.720E-2,6.362E-2,3.727E-2
0.133,-7.015E-3,-2.685E-2,5.919E-2,4.092E-2
0.150,-5.740E-3,-2.583E-2,5.941E-2,4.329E-2
0.167,-5.035E-3,-2.540E-2,4.500E-2,2.703E-2
0.183,-4.240E-3,-2.493E-2,6.606E-2,3.714E-2
0.200,-2.833E-3,-2.417E-2,6.083E-2,3.140E-2
0.217,-2.212E-3,-2.389E-2,4.048E-2,1.607E-2
0.233,-1.484E-3,-2.363E-2,6.639E-2,2.726E-2
0.250,8.340E-7,-2.298E-2,6.135E-2,3.065E-2
0.267,5.613E-4,-2.261E-2,5.555E-2,3.444E-2
0.283,1.852E-3,-2.183E-2,5.598E-2,3.270E-2
0.300,2.428E-3,-2.152E-2,3.436E-2,2.696E-2
0.317,2.998E-3,-2.093E-2,6.111E-2,4.600E-2
0.333,4.465E-3,-1.999E-2,6.351E-2,3.566E-2
0.350,5.115E-3,-1.974E-2,6.017E-2,3.047E-2
0.367,6.470E-3,-1.897E-2,5.556E-2,3.540E-2
0.383,6.967E-3,-1.856E-2,3.440E-2,2.511E-2
0.400,7.617E-3,-1.813E-2,5.493E-2,4.235E-2
0.417,8.797E-3,-1.715E-2,5.235E-2,3.998E-2
0.433,9.362E-3,-1.680E-2,5.391E-2,3.821E-2
0.450,1.059E-2,-1.588E-2,5.573E-2,4.741E-2
0.467,1.122E-2,-1.522E-2,3.307E-2,3.587E-2
0.483,1.170E-2,-1.468E-2,4.769E-2,4.519E-2
0.500,1.281E-2,-1.371E-2,4.646E-2,4.470E-2
0.517,1.325E-2,-1.319E-2,2.756E-2,2.598E-2
0.533,1.373E-2,-1.285E-2,4.317E-2,4.379E-2
0.550,1.468E-2,-1.173E-2,4.603E-2,4.595E-2
0.567,1.526E-2,-1.132E-2,2.589E-2,2.832E-2
0.583,1.555E-2,-1.079E-2,3.644E-2,4.774E-2
0.600,1.648E-2,-9.725E-3,3.916E-2,4.704E-2
0.617,1.685E-2,-9.219E-3,3.825E-2,4.481E-2
0.633,1.775E-2,-8.231E-3,3.715E-2,4.365E-2
0.650,1.809E-2,-7.765E-3,3.660E-2,4.678E-2
0.667,1.897E-2,-6.672E-3,3.448E-2,4.819E-2
