t,x,y,vx,vy
0.017,-1.010E-2,6.731E-3,-3.426E-2,1.012E-2
0.033,-1.096E-2,6.930E-3,-3.845E-2,1.079E-2
0.050,-1.139E-2,7.091E-3,-3.912E-2,1.603E-2
0.067,-1.226E-2,7.464E-3,-3.807E-2,1.456E-2
0.083,-1.265E-2,7.576E-3,-3.537E-2,0.160
0.100,-1.344E-2,1.278E-2,-8.537E-2,0.357
0.117,-1.550E-2,1.949E-2,-8.529E-2,0.306
0.133,-1.628E-2,2.299E-2,-6.570E-2,0.333
0.150,-1.769E-2,3.060E-2,-6.555E-2,0.341
0.167,-1.847E-2,3.435E-2,-4.582E-2,0.227
0.183,-1.922E-2,3.815E-2,-6.198E-2,0.345
0.200,-2.053E-2,4.584E-2,-6.416E-2,0.348
0.217,-2.136E-2,4.975E-2,-4.301E-2,0.235
0.233,-2.197E-2,5.366E-2,-6.223E-2,0.348
0.250,-2.343E-2,6.135E-2,-6.664E-2,0.350
0.267,-2.419E-2,6.532E-2,-6.600E-2,0.355
0.283,-2.563E-2,7.316E-2,-6.526E-2,0.355
0.300,-2.636E-2,7.714E-2,-4.154E-2,0.237
0.317,-2.702E-2,8.107E-2,-6.215E-2,0.356
0.333,-2.844E-2,8.902E-2,-6.105E-2,0.360
0.350,-2.905E-2,9.308E-2,-5.529E-2,0.360
0.367,-3.028E-2,0.101,-5.515E-2,0.359
0.383,-3.089E-2,0.105,-3.809E-2,0.243
0.400,-3.155E-2,0.109,-5.753E-2,0.364
0.417,-3.281E-2,0.117,-5.184E-2,0.362
0.433,-3.328E-2,0.121,-4.881E-2,0.367
0.450,-3.443E-2,0.129,-5.141E-2,0.371
0.467,-3.499E-2,0.134,-3.212E-2,0.249
0.483,-3.550E-2,0.138,-4.648E-2,0.369
0.500,-3.654E-2,0.146,-4.821E-2,0.367
0.517,-3.711E-2,0.150,-2.925E-2,0.247
0.533,-3.751E-2,0.154,-4.191E-2,0.373
0.550,-3.851E-2,0.162,-4.305E-2,0.371
0.567,-3.895E-2,0.166,-2.763E-2,0.250
0.583,-3.943E-2,0.171,-3.982E-2,0.374
0.600,-4.028E-2,0.179,-4.060E-2,0.373
0.617,-4.078E-2,0.183,-4.127E-2,0.374
0.633,-4.165E-2,0.191,-4.207E-2,0.373
0.650,-4.218E-2,0.196,-3.779E-2,0.377
0.667,-4.291E-2,0.204,-3.354E-2,0.379
