t,vx,vy
0.017,0.262,-4.193E-2
0.033,0.262,-3.613E-2
0.050,0.388,-5.776E-2
0.067,0.390,-7.137E-2
0.083,0.389,-6.707E-2
0.100,0.391,-6.496E-2
0.117,0.260,-4.676E-2
0.133,0.386,-6.659E-2
0.150,0.391,-6.074E-2
0.167,0.267,-3.666E-2
0.183,0.269,-4.040E-2
0.200,0.404,-5.943E-2
0.217,0.402,-5.860E-2
0.233,0.269,-3.981E-2
0.250,0.398,-6.349E-2
0.267,0.397,-6.286E-2
0.283,0.401,-6.389E-2
0.300,0.399,-6.553E-2
0.317,0.263,-4.340E-2
0.333,0.268,-4.808E-2
0.350,0.401,-6.892E-2
0.367,0.402,-6.150E-2
0.383,0.277,-4.624E-2
0.400,0.275,-4.771E-2
0.417,0.270,-4.992E-2
0.433,0.407,-6.139E-2
0.450,0.406,-5.204E-2
0.467,0.265,-3.332E-2
0.483,0.394,-6.346E-2
0.500,0.398,-7.578E-2
0.517,0.267,-4.735E-2
0.533,0.269,-4.512E-2
0.550,0.267,-3.920E-2
0.567,0.399,-5.770E-2
0.583,0.399,-6.279E-2
0.600,0.262,-4.866E-2
0.617,0.264,-4.974E-2
0.633,1.826E-2,-5.798E-2
0.650,-0.239,-5.426E-2
0.667,-0.254,-4.440E-2
0.683,-0.251,-4.641E-2
0.700,-0.372,-6.632E-2
0.717,-0.373,-6.882E-2
0.733,-0.248,-4.650E-2
0.750,-0.245,-4.767E-2
0.767,-0.371,-6.409E-2
0.783,-0.379,-6.468E-2
0.800,-0.253,-4.406E-2
0.817,-0.379,-7.079E-2
0.833,-0.377,-7.221E-2
0.850,-0.250,-4.188E-2
0.867,-0.248,-4.085E-2
0.883,-0.364,-6.026E-2
0.900,-0.368,-6.576E-2
0.917,-0.249,-4.633E-2
0.933,-0.245,-4.495E-2
0.950,-0.245,-4.863E-2
0.967,-0.365,-6.426E-2
0.983,-0.362,-6.710E-2
1.000,-0.242,-4.849E-2
1.017,-0.232,-3.865E-2
1.033,-0.332,-6.221E-2
1.050,-0.330,-6.662E-2
1.067,-0.209,-4.337E-2
1.083,-0.313,-6.086E-2
1.100,-0.315,-6.220E-2
1.117,-0.205,-4.001E-2
1.133,-0.298,-5.816E-2
1.150,-0.287,-5.996E-2
1.167,-0.184,-3.975E-2
1.183,-0.261,-5.181E-2
1.200,-0.255,-5.085E-2
1.217,-0.166,-3.927E-2
1.233,-0.158,-3.687E-2
1.250,-0.233,-5.387E-2
1.267,-0.231,-5.454E-2
1.283,-0.154,-3.537E-2
1.300,-0.152,-3.068E-2
1.317,-0.154,-2.690E-2
