t,x,y,vx,vy
0.017,-3.814E-2,-7.970E-4,-2.079E-3,-1.271E-2
0.033,-3.809E-2,-9.199E-4,3.729E-3,-1.451E-2
0.050,-3.801E-2,-1.281E-3,1.458E-3,-2.308E-2
0.067,-3.804E-2,-1.689E-3,-4.559E-3,-1.745E-2
0.083,-3.817E-2,-1.862E-3,-4.391E-3,-1.516E-2
0.100,-3.818E-2,-2.194E-3,2.867E-3,-1.813E-2
0.117,-3.807E-2,-2.467E-3,2.616E-3,-1.743E-2
0.133,-3.810E-2,-2.775E-3,-4.443E-3,-2.045E-2
0.150,-3.822E-2,-3.149E-3,-9.155E-4,-1.822E-2
0.167,-3.813E-2,-3.383E-3,1.118E-3,-1.407E-2
0.183,-3.818E-2,-3.617E-3,4.044E-4,-9.493E-3
0.200,-3.811E-2,-3.699E-3,7.642E-3,6.327E-2
0.217,-3.793E-2,-1.508E-3,5.108E-3,0.204
0.233,-3.794E-2,3.086E-3,1.348E-3,0.206
0.250,-3.788E-2,5.356E-3,1.970E-2,0.201
0.267,-3.729E-2,9.775E-3,2.080E-2,0.203
0.283,-3.719E-2,1.212E-2,6.531E-3,0.209
0.300,-3.707E-2,1.674E-2,6.467E-3,0.208
0.317,-3.697E-2,1.905E-2,9.314E-3,0.139
0.333,-3.676E-2,2.137E-2,1.062E-2,0.137
0.350,-3.662E-2,2.362E-2,1.447E-2,0.200
0.367,-3.628E-2,2.803E-2,1.479E-2,0.199
0.383,-3.613E-2,3.024E-2,1.557E-2,0.202
0.400,-3.576E-2,3.475E-2,1.434E-2,0.200
0.417,-3.565E-2,3.690E-2,1.370E-2,0.198
0.433,-3.530E-2,4.135E-2,1.725E-2,0.199
0.450,-3.507E-2,4.355E-2,1.111E-2,0.133
0.467,-3.493E-2,4.580E-2,1.805E-2,0.199
0.483,-3.447E-2,5.018E-2,2.349E-2,0.202
0.500,-3.415E-2,5.253E-2,1.079E-2,0.132
0.517,-3.411E-2,5.458E-2,1.346E-2,0.197
0.533,-3.370E-2,5.909E-2,1.859E-2,0.200
0.550,-3.349E-2,6.126E-2,9.212E-3,0.202
0.567,-3.339E-2,6.581E-2,4.398E-3,0.205
0.583,-3.335E-2,6.810E-2,6.610E-3,0.136
0.600,-3.317E-2,7.033E-2,1.868E-2,0.204
0.617,-3.272E-2,7.490E-2,2.079E-2,0.203
0.633,-3.248E-2,7.712E-2,1.718E-2,0.133
0.650,-3.215E-2,7.935E-2,1.955E-2,0.205
0.667,-3.183E-2,8.396E-2,1.670E-2,0.204
0.683,-3.159E-2,8.614E-2,1.423E-2,0.132
0.700,-3.135E-2,8.835E-2,1.413E-2,0.207
0.717,-3.112E-2,9.302E-2,1.031E-2,0.208
0.733,-3.101E-2,9.527E-2,8.421E-3,0.140
0.750,-3.084E-2,9.769E-2,2.035E-2,0.207
0.767,-3.033E-2,0.102,2.085E-2,0.203
0.783,-3.015E-2,0.104,1.346E-2,0.133
0.800,-2.988E-2,0.107,1.427E-2,0.206
0.817,-2.967E-2,0.111,1.527E-2,0.214
0.833,-2.937E-2,0.114,1.925E-2,0.140
0.850,-2.903E-2,0.116,2.152E-2,0.210
0.867,-2.866E-2,0.121,2.243E-2,0.217
0.883,-2.828E-2,0.123,2.245E-2,0.215
0.900,-2.791E-2,0.128,1.580E-2,0.212
