t,x,y,vx,vy
0.017,-0.252,1.103E-2,0.181,1.204E-2
0.033,-0.249,1.120E-2,0.272,3.036E-2
0.050,-0.243,1.204E-2,0.274,3.278E-2
0.067,-0.240,1.229E-2,0.276,2.031E-2
0.083,-0.234,1.272E-2,0.280,2.732E-2
0.100,-0.230,1.320E-2,0.279,3.107E-2
0.117,-0.224,1.376E-2,0.274,2.599E-2
0.133,-0.221,1.407E-2,0.277,2.537E-2
0.150,-0.215,1.460E-2,0.273,2.425E-2
0.167,-0.212,1.487E-2,0.280,2.878E-2
0.183,-0.206,1.556E-2,0.285,3.059E-2
0.200,-0.203,1.589E-2,0.284,3.290E-2
0.217,-0.196,1.666E-2,0.287,2.353E-2
0.233,-0.193,1.668E-2,0.198,1.508E-2
0.250,-0.190,1.716E-2,0.287,3.234E-2
0.267,-0.184,1.776E-2,0.280,2.363E-2
0.283,-0.181,1.795E-2,0.292,2.459E-2
0.300,-0.174,1.858E-2,0.300,3.461E-2
0.317,-0.170,1.910E-2,0.293,3.384E-2
0.333,-0.164,1.970E-2,0.284,2.366E-2
0.350,-0.161,1.989E-2,0.295,2.323E-2
0.367,-0.154,2.048E-2,0.294,2.604E-2
0.383,-0.151,2.076E-2,0.288,2.593E-2
0.400,-0.145,2.134E-2,0.295,1.597E-2
0.417,-0.141,2.129E-2,0.199,1.048E-2
0.433,-0.138,2.169E-2,0.298,2.868E-2
0.450,-0.131,2.225E-2,0.297,2.653E-2
0.467,-0.128,2.258E-2,0.298,2.187E-2
0.483,-0.122,2.298E-2,0.300,2.089E-2
0.500,-0.118,2.327E-2,0.298,2.471E-2
0.517,-0.112,2.380E-2,0.292,1.727E-2
0.533,-0.108,2.385E-2,0.191,1.410E-2
0.550,-0.105,2.427E-2,0.295,3.731E-2
0.567,-9.861E-2,2.509E-2,0.304,3.936E-2
0.583,-9.514E-2,2.558E-2,0.313,2.862E-2
0.600,-8.816E-2,2.605E-2,0.315,2.063E-2
0.617,-8.465E-2,2.627E-2,0.209,7.826E-3
0.633,-8.118E-2,2.631E-2,0.296,1.151E-2
0.650,-7.479E-2,2.665E-2,0.285,2.305E-2
0.667,-7.169E-2,2.708E-2,0.277,3.074E-2
0.683,-6.557E-2,2.768E-2,0.273,1.646E-2
0.700,-6.258E-2,2.762E-2,8.908E-3,-3.368E-2
0.717,-6.527E-2,2.655E-2,-0.292,-0.101
0.733,-7.232E-2,2.427E-2,-0.313,-0.114
0.750,-7.572E-2,2.276E-2,-0.315,-0.116
0.767,-8.281E-2,2.041E-2,-0.326,-0.105
0.783,-8.657E-2,1.926E-2,-0.219,-7.043E-2
0.800,-9.011E-2,1.806E-2,-0.327,-0.113
0.817,-9.747E-2,1.549E-2,-0.341,-0.112
0.833,-0.101,1.432E-2,-0.234,-7.434E-2
0.850,-0.105,1.302E-2,-0.337,-0.109
0.867,-0.113,1.068E-2,-0.339,-0.111
0.883,-0.117,9.301E-3,-0.324,-0.120
0.900,-0.124,6.684E-3,-0.308,-0.122
0.917,-0.127,5.229E-3,-0.310,-0.113
0.933,-0.134,2.928E-3,-0.318,-0.104
0.950,-0.137,1.772E-3,-0.216,-7.174E-2
0.967,-0.141,5.366E-4,-0.332,-0.114
0.983,-0.148,-2.029E-3,-0.334,-0.118
1.000,-0.152,-3.399E-3,-0.333,-0.107
1.017,-0.160,-5.607E-3,-0.327,-0.106
1.033,-0.163,-6.923E-3,-0.313,-0.115
1.050,-0.170,-9.438E-3,-0.309,-0.116
1.067,-0.173,-1.080E-2,-0.212,-8.166E-2
1.083,-0.177,-1.216E-2,-0.312,-0.114
1.100,-0.184,-1.459E-2,-0.307,-0.113
1.117,-0.187,-1.591E-2,-0.319,-0.115
1.133,-0.194,-1.841E-2,-0.324,-0.110
1.150,-0.198,-1.960E-2,-0.319,-0.110
1.167,-0.205,-2.208E-2,-0.313,-0.109
1.183,-0.209,-2.324E-2,-0.207,-7.517E-2
1.200,-0.212,-2.458E-2,-0.299,-0.119
1.217,-0.219,-2.722E-2,-0.291,-0.119
1.233,-0.222,-2.855E-2,-0.292,-0.121
1.250,-0.228,-3.126E-2,-0.301,-0.115
1.267,-0.232,-3.238E-2,-0.307,-0.113
1.283,-0.239,-3.504E-2,-0.309,-0.117
1.300,-0.242,-3.629E-2,-0.307,-0.108
1.317,-0.249,-3.863E-2,-0.298,-0.109
1.333,-0.252,-3.992E-2,-0.282,-0.106
1.350,-0.258,-4.216E-2,-0.285,-0.107
1.367,-0.261,-4.348E-2,-0.192,-7.938E-2
1.383,-0.265,-4.480E-2,-0.273,-0.113
1.400,-0.271,-4.726E-2,-0.277,-0.114
1.417,-0.274,-4.861E-2,-0.285,-0.109
1.433,-0.280,-5.089E-2,-0.277,-0.101
1.450,-0.283,-5.198E-2,-0.272,-0.107
1.467,-0.289,-5.445E-2,-0.270,-0.110
