t,x,y,vx,vy
0.017,-7.196E-2,-9.824E-2,5.033E-2,0.482
0.033,-7.141E-2,-9.293E-2,2.907E-2,0.322
0.050,-7.099E-2,-8.751E-2,4.262E-2,0.475
0.067,-6.999E-2,-7.709E-2,4.747E-2,0.474
0.083,-6.940E-2,-7.170E-2,3.766E-2,0.320
0.100,-6.873E-2,-6.643E-2,3.825E-2,0.310
0.117,-6.813E-2,-6.136E-2,6.664E-2,0.468
0.133,-6.651E-2,-5.081E-2,7.152E-2,0.467
0.150,-6.575E-2,-4.579E-2,4.611E-2,0.304
0.167,-6.498E-2,-4.069E-2,6.965E-2,0.456
0.183,-6.342E-2,-3.061E-2,6.922E-2,0.455
0.200,-6.267E-2,-2.551E-2,4.717E-2,0.304
0.217,-6.185E-2,-2.047E-2,6.659E-2,0.450
0.233,-6.045E-2,-1.050E-2,6.874E-2,0.445
0.250,-5.956E-2,-5.636E-3,4.980E-2,0.292
0.267,-5.879E-2,-7.603E-4,5.230E-2,0.294
0.283,-5.782E-2,4.165E-3,8.089E-2,0.435
0.300,-5.609E-2,1.373E-2,0.109,0.578
0.317,-5.418E-2,2.342E-2,8.606E-2,0.431
0.333,-5.322E-2,2.809E-2,5.708E-2,0.281
0.350,-5.227E-2,3.277E-2,8.433E-2,0.420
0.367,-5.041E-2,4.210E-2,8.422E-2,0.422
0.383,-4.947E-2,4.684E-2,8.205E-2,0.419
0.400,-4.768E-2,5.608E-2,8.391E-2,0.414
0.417,-4.667E-2,6.062E-2,5.805E-2,0.272
0.433,-4.574E-2,6.515E-2,5.486E-2,0.270
0.450,-4.484E-2,6.962E-2,8.603E-2,0.397
0.467,-4.288E-2,7.839E-2,8.519E-2,0.391
0.483,-4.200E-2,8.267E-2,8.709E-2,0.391
0.500,-3.997E-2,9.142E-2,8.722E-2,0.393
0.517,-3.909E-2,9.578E-2,5.114E-2,0.265
0.533,-3.827E-2,0.100,7.948E-2,0.390
0.550,-3.644E-2,0.109,7.954E-2,0.387
0.567,-3.562E-2,0.113,4.825E-2,0.262
0.583,-3.484E-2,0.118,7.041E-2,0.390
0.600,-3.327E-2,0.126,7.447E-2,0.387
0.617,-3.235E-2,0.130,5.688E-2,0.246
0.633,-3.137E-2,0.134,7.678E-2,0.366
0.650,-2.979E-2,0.143,7.535E-2,0.369
0.667,-2.886E-2,0.147,5.498E-2,0.254
0.683,-2.796E-2,0.151,7.034E-2,0.375
0.700,-2.652E-2,0.159,6.649E-2,0.365
0.717,-2.575E-2,0.163,4.676E-2,0.244
0.733,-2.496E-2,0.167,6.805E-2,0.361
0.750,-2.348E-2,0.175,6.488E-2,0.359
