t,x,y,vx,vy
0.017,-1.237E-2,-0.139,0.203,0.599
0.033,-8.059E-3,-0.126,0.197,0.592
0.050,-5.808E-3,-0.119,0.195,0.612
0.067,-1.568E-3,-0.105,0.196,0.613
0.083,7.338E-4,-9.866E-2,0.129,0.406
0.100,2.741E-3,-9.187E-2,0.193,0.613
0.117,7.171E-3,-7.822E-2,0.199,0.616
0.133,9.382E-3,-7.133E-2,0.130,0.415
0.150,1.149E-2,-6.440E-2,0.188,0.618
0.167,1.564E-2,-5.074E-2,0.186,0.605
0.183,1.770E-2,-4.422E-2,0.119,0.409
0.200,1.963E-2,-3.710E-2,0.119,0.423
0.217,2.167E-2,-3.013E-2,0.168,0.606
0.233,2.524E-2,-1.691E-2,0.162,0.594
0.250,2.707E-2,-1.033E-2,0.159,0.595
0.267,3.055E-2,2.941E-3,0.152,0.574
0.283,3.212E-2,8.818E-3,9.625E-2,0.375
0.300,3.375E-2,1.543E-2,0.147,0.587
0.317,3.702E-2,2.838E-2,0.152,0.581
0.333,3.882E-2,3.479E-2,9.723E-2,0.379
0.350,4.026E-2,4.103E-2,0.140,0.572
0.367,4.348E-2,5.387E-2,0.142,0.567
0.383,4.499E-2,5.994E-2,9.405E-2,0.381
0.400,4.662E-2,6.658E-2,0.139,0.585
0.417,4.962E-2,7.945E-2,0.136,0.576
0.433,5.115E-2,8.579E-2,9.202E-2,0.384
0.450,5.269E-2,9.226E-2,0.129,0.563
0.467,5.546E-2,0.105,0.131,0.551
0.483,5.704E-2,0.111,8.665E-2,0.376
0.500,5.835E-2,0.117,8.011E-2,0.383
0.517,5.971E-2,0.123,0.129,0.565
0.533,6.266E-2,0.136,0.130,0.564
0.550,6.405E-2,0.142,8.308E-2,0.380
0.567,6.543E-2,0.149,8.521E-2,0.372
0.583,6.689E-2,0.155,0.127,0.557
0.600,6.967E-2,0.167,0.121,0.557
