t,x,y,vx,vy
0.017,-6.057E-2,-6.318E-2,0.444,0.435
0.033,-5.571E-2,-5.784E-2,0.305,0.301
0.050,-5.039E-2,-5.315E-2,0.453,0.436
0.067,-4.060E-2,-4.332E-2,0.445,0.433
0.083,-3.554E-2,-3.873E-2,0.302,0.278
0.100,-3.054E-2,-3.405E-2,0.274,0.178
0.117,-2.641E-2,-3.281E-2,0.159,4.159E-3
0.133,-2.523E-2,-3.391E-2,6.663E-2,-4.463E-2
0.150,-2.419E-2,-3.430E-2,9.148E-2,-5.761E-2
0.167,-2.218E-2,-3.583E-2,9.160E-2,-6.855E-2
0.183,-2.114E-2,-3.659E-2,9.887E-2,-7.125E-2
0.200,-1.889E-2,-3.821E-2,0.114,-6.843E-2
0.217,-1.735E-2,-3.887E-2,7.861E-2,-2.826E-2
0.233,-1.627E-2,-3.915E-2,0.103,-6.668E-2
0.250,-1.391E-2,-4.109E-2,0.106,-7.778E-2
0.267,-1.274E-2,-4.174E-2,6.817E-2,-4.433E-2
0.283,-1.164E-2,-4.257E-2,0.103,-7.377E-2
0.300,-9.306E-3,-4.420E-2,9.982E-2,-7.103E-2
0.317,-8.312E-3,-4.493E-2,6.390E-2,-4.709E-2
0.333,-7.176E-3,-4.577E-2,9.768E-2,-7.616E-2
0.350,-5.056E-3,-4.747E-2,9.935E-2,-7.190E-2
0.367,-3.865E-3,-4.817E-2,7.363E-2,-4.474E-2
0.383,-2.602E-3,-4.896E-2,0.101,-6.705E-2
0.400,-4.854E-4,-5.040E-2,9.571E-2,-7.002E-2
0.417,5.883E-4,-5.130E-2,0.103,-8.232E-2
0.433,2.953E-3,-5.314E-2,9.839E-2,-7.225E-2
0.450,3.868E-3,-5.371E-2,9.597E-2,-6.531E-2
0.467,6.152E-3,-5.532E-2,9.917E-2,-7.101E-2
0.483,7.174E-3,-5.607E-2,5.564E-2,-5.563E-2
0.500,8.006E-3,-5.718E-2,6.149E-2,-5.829E-2
0.517,9.223E-3,-5.802E-2,0.101,-6.945E-2
0.533,1.138E-2,-5.949E-2,9.708E-2,-7.060E-2
0.550,1.246E-2,-6.037E-2,7.005E-2,-5.038E-2
0.567,1.371E-2,-6.117E-2,9.603E-2,-7.500E-2
