Channel Accuracy: 10 Bits
Measurement Range 0...5V --> Resolution: 5V/2^10 = 4.9mV
Measured two channels at a Frequency of 1000 Hz
Time (s)	Ch.1 (V)	Ch.2 (V)
0	2.4365234375	3.7939453125
0.001	2.32421875	3.61328125
0.002	2.2119140625	3.330078125
0.003	2.109375	2.9736328125
0.004	2.0361328125	2.587890625
0.005	1.9921875	2.177734375
0.006	1.97265625	1.787109375
0.007	1.982421875	1.4453125
0.008	2.0361328125	1.171875
0.009	2.1484375	1.0009765625
0.01	2.216796875	0.927734375
0.011	2.3388671875	0.9814453125
0.012	2.4609375	1.1474609375
0.013	2.578125	1.4111328125
0.013996	2.67578125	1.748046875
0.014996	2.763671875	2.12890625
0.015996	2.8173828125	2.5537109375
0.016996	2.841796875	2.9541015625
0.017996	2.8271484375	3.3056640625
0.018996	2.79296875	3.5986328125
0.019996	2.7099609375	3.7890625
0.020996	2.607421875	3.8623046875
0.021996	2.490234375	3.837890625
0.022996	2.3681640625	3.69140625
0.023996	2.24609375	3.4375
0.025004	2.1484375	3.10546875
0.026	2.0458984375	2.7294921875
0.027	1.9970703125	2.314453125
0.028	1.9580078125	1.8994140625
0.029	1.962890625	1.54296875
0.03	2.01171875	1.2451171875
0.031	2.080078125	1.03515625
0.032	2.1826171875	0.9375
0.033	2.2998046875	0.9619140625
0.034	2.421875	1.0986328125
0.035	2.548828125	1.3427734375
0.036	2.65625	1.6650390625
0.037	2.7490234375	2.05078125
0.038	2.8173828125	2.470703125
0.039	2.841796875	2.8759765625
0.04	2.841796875	3.2470703125
0.041	2.8076171875	3.5546875
0.042	2.734375	3.7646484375
0.043	2.63671875	3.8671875
0.044	2.5146484375	3.84765625
0.045	2.40234375	3.7158203125
0.046	2.255859375	3.4716796875
0.047	2.1435546875	3.1494140625
0.048	2.0556640625	2.7587890625
0.049	1.9921875	2.3486328125
0.05	1.9580078125	1.93359375
0.051	1.962890625	1.5576171875
0.052	2.001953125	1.2548828125
0.053	2.0751953125	1.044921875
0.054	2.177734375	0.9423828125
0.055	2.294921875	0.9619140625
0.055996	2.421875	1.0986328125
0.056996	2.5537109375	1.337890625
0.057996	2.666015625	1.6796875
0.058996	2.75390625	2.0556640625
0.059996	2.822265625	2.490234375
0.060996	2.8515625	2.890625
0.061996	2.8564453125	3.271484375
0.062996	2.8125	3.57421875
0.063996	2.734375	3.7744140625
0.064996	2.6318359375	3.8720703125
0.065996	2.5	3.837890625
0.066996	2.3681640625	3.6865234375
0.068004	2.2509765625	3.4326171875
0.069	2.1337890625	3.0908203125
0.07	2.03125	2.685546875
0.071	1.9775390625	2.265625
0.072	1.953125	1.85546875
0.073	1.953125	1.4892578125
0.074	2.001953125	1.201171875
0.075	2.08984375	1.005859375
0.076	2.197265625	0.9326171875
0.077	2.3193359375	0.9912109375
0.078	2.4560546875	1.1572265625
0.079	2.5830078125	1.42578125
0.08	2.6953125	1.787109375
0.081	2.783203125	2.1826171875
0.082	2.8466796875	2.6220703125
0.083	2.87109375	3.02734375
0.084	2.8466796875	3.37890625
0.085	2.7978515625	3.662109375
0.086	2.7001953125	3.828125
0.087	2.5927734375	3.8720703125
0.088	2.4609375	3.798828125
0.089	2.3193359375	3.59375
0.09	2.197265625	3.3056640625
0.091	2.080078125	2.9248046875
0.092	2.001953125	2.5146484375
0.093	1.953125	2.08984375
0.094	1.9384765625	1.6845703125
0.095	1.9677734375	1.3427734375
0.096	2.03125	1.103515625
0.097	2.1240234375	0.9765625
0.098	2.24609375	0.947265625
0.098996	2.3876953125	1.0595703125
0.099996	2.51953125	1.2890625
0.100996	2.646484375	1.6015625
0.101996	2.75390625	1.9970703125
0.102996	2.822265625	2.421875
0.103996	2.861328125	2.8515625
0.104996	2.8759765625	3.2373046875
0.105996	2.83203125	3.5546875
0.106996	2.75390625	3.759765625
0.107996	2.6416015625	3.8623046875
0.108996	2.51953125	3.837890625
0.109996	2.373046875	3.6865234375
0.111004	2.24609375	3.4130859375
0.112	2.1240234375	3.0615234375
0.113	2.0263671875	2.65625
0.114	1.962890625	2.2265625
0.115	1.93359375	1.796875
0.116	1.9482421875	1.4404296875
0.117	1.9970703125	1.162109375
0.118	2.0947265625	0.9814453125
0.119	2.20703125	0.9375
0.12	2.34375	1.0107421875
0.121	2.48046875	1.2158203125
0.122	2.6220703125	1.5185546875
0.123	2.734375	1.89453125
0.124	2.8173828125	2.3291015625
0.125	2.87109375	2.7587890625
0.126	2.8759765625	3.1640625
0.127	2.841796875	3.49609375
0.128	2.7783203125	3.7353515625
0.129	2.6708984375	3.8623046875
0.13	2.5390625	3.8427734375
0.131	2.40234375	3.7158203125
0.132	2.216796875	3.4619140625
0.133	2.1337890625	3.1103515625
0.134	2.0263671875	2.7001953125
0.135	1.9580078125	2.2705078125
0.136	1.9287109375	1.845703125
0.137	1.9384765625	1.4697265625
0.138	1.982421875	1.181640625
0.139	2.080078125	0.9912109375
0.14	2.177734375	0.9423828125
0.141	2.3291015625	1.005859375
0.141996	2.48046875	1.2109375
0.142996	2.6123046875	1.513671875
0.143996	2.7294921875	1.8994140625
0.144996	2.8173828125	2.3291015625
0.145996	2.87109375	2.763671875
0.146996	2.890625	3.173828125
0.147996	2.8564453125	3.5107421875
0.148996	2.783203125	3.740234375
0.149996	2.67578125	3.857421875
0.150996	2.5390625	3.837890625
0.151996	2.392578125	3.69140625
0.153004	2.24609375	3.4326171875
0.154	2.1142578125	3.076171875
0.155	2.021484375	2.65625
0.156	1.9482421875	2.216796875
0.157	1.9091796875	1.7919921875
0.158	1.93359375	1.42578125
0.159	1.9970703125	1.142578125
0.16	2.08984375	0.9765625
0.161	2.20703125	0.9423828125
0.162	2.353515625	1.03515625
0.163	2.5048828125	1.2646484375
0.164	2.63671875	1.591796875
0.165	2.75390625	1.9970703125
0.166	2.8369140625	2.4365234375
0.167	2.890625	2.87109375
0.168	2.8955078125	3.26171875
0.169	2.8515625	3.5791015625
0.17	2.7587890625	3.7841796875
0.171	2.63671875	3.8720703125
0.172	2.5	3.80859375
0.173	2.353515625	3.6279296875
0.174	2.20703125	3.330078125
0.175	2.0849609375	2.939453125
0.176	1.9873046875	2.509765625
0.177	1.923828125	2.0703125
0.178	1.9140625	1.650390625
0.179	1.9384765625	1.30859375
0.18	2.0166015625	1.064453125
0.181	2.1240234375	0.9521484375
0.182	2.2607421875	0.966796875
0.183	2.4072265625	1.1181640625
0.183996	2.55859375	1.3916015625
0.184996	2.6953125	1.7578125
0.185996	2.8076171875	2.1826171875
0.186996	2.91015625	2.626953125
0.187996	2.8955078125	3.046875
0.188996	2.8857421875	3.4228515625
0.189996	2.822265625	3.6962890625
0.190996	2.7099609375	3.8330078125
0.191996	2.578125	3.8525390625
0.192996	2.431640625	3.73046875
0.193996	2.2802734375	3.4814453125
0.194996	2.138671875	3.1298828125
0.196004	2.021484375	2.7099609375
0.197	1.943359375	2.265625
0.198	1.8994140625	1.826171875
0.199	1.9091796875	1.4501953125
0.2	1.97265625	1.162109375
0.201	2.0654296875	0.9765625
0.202	2.197265625	0.9423828125
0.203	2.34375	1.044921875
0.204	2.5048828125	1.2744140625
0.205	2.6513671875	1.6162109375
0.206	2.7734375	2.021484375
0.207	2.861328125	2.4755859375
0.208	2.9052734375	2.919921875
0.209	2.9052734375	3.310546875
0.21	2.8564453125	3.61328125
0.211	2.75390625	3.80859375
0.212	2.6220703125	3.8623046875
0.213	2.48046875	3.779296875
0.214	2.36328125	3.5693359375
0.215	2.1728515625	3.2275390625
0.216	2.0458984375	2.822265625
0.217	1.953125	2.3779296875
0.218	1.8994140625	1.9287109375
0.219	1.8994140625	1.5283203125
0.22	1.943359375	1.2060546875
0.221	2.0361328125	1.0009765625
0.222	2.1630859375	0.9375
0.223	2.314453125	1.015625
0.224	2.4755859375	1.2255859375
0.225	2.626953125	1.5478515625
0.226	2.7587890625	1.953125
0.226996	2.8466796875	2.4072265625
0.227996	2.91015625	2.861328125
0.228996	2.919921875	3.26171875
0.229996	2.8759765625	3.583984375
0.230996	2.783203125	3.7939453125
0.231996	2.646484375	3.8623046875
0.232996	2.5048828125	3.7939453125
0.233996	2.333984375	3.5888671875
0.234996	2.177734375	3.26171875
0.235996	2.0458984375	2.8515625
0.236996	1.9580078125	2.4072265625
0.237996	1.8994140625	1.953125
0.239004	1.884765625	1.5380859375
0.24	1.9384765625	1.2158203125
0.241	2.03125	1.0107421875
0.242	2.158203125	0.9375
0.243	2.3095703125	1.015625
0.244	2.470703125	1.2255859375
0.245	2.626953125	1.5576171875
0.246	2.763671875	1.97265625
0.247	2.8564453125	2.431640625
0.248	2.9150390625	2.880859375
