Channel Accuracy: 10 Bits
Measurement Range 0...5V --> Resolution: 5V/2^10 = 4.9mV
Measured two channels at a Frequency of 500 Hz
Time (s)	Ch.1 (V)	Ch.2 (V)
0	2.7392578125	3.828125
0.001996	2.4560546875	3.7646484375
0.004	2.1630859375	3.203125
0.005996	1.953125	2.3388671875
0.008	1.904296875	1.4990234375
0.009996	2.0458984375	0.9912109375
0.012	2.333984375	1.025390625
0.013996	2.6318359375	1.5625
0.016	2.8564453125	2.421875
0.017996	2.91015625	3.2763671875
0.02	2.7783203125	3.7939453125
0.021996	2.5	3.7939453125
0.024	2.1826171875	3.26171875
0.026	1.953125	2.3974609375
0.028	1.8994140625	1.5576171875
0.03	2.0263671875	1.015625
0.032	2.3046875	1.0107421875
0.034	2.6171875	1.5380859375
0.036	2.8564453125	2.392578125
0.037996	2.9248046875	3.2470703125
0.04	2.7880859375	3.7939453125
0.041996	2.5	3.7890625
0.044	2.1875	3.2568359375
0.045996	1.953125	2.3974609375
0.048	1.884765625	1.533203125
0.049996	2.0263671875	1.005859375
0.052	2.314453125	1.0107421875
0.053996	2.6318359375	1.5673828125
0.056	2.87109375	2.451171875
0.057996	2.9248046875	3.30078125
0.06	2.7783203125	3.818359375
0.061996	2.48046875	3.779296875
0.064	2.158203125	3.1884765625
0.065996	1.9287109375	2.3046875
0.068004	1.8896484375	1.4453125
0.07	2.0458984375	0.9814453125
0.072	2.353515625	1.0693359375
0.074	2.6806640625	1.689453125
0.076	2.8955078125	2.59765625
0.078	2.919921875	3.427734375
0.08	2.744140625	3.8525390625
0.081996	2.4267578125	3.6962890625
0.084	2.1044921875	3.0224609375
0.085996	1.8994140625	2.119140625
0.088	1.8994140625	1.30859375
0.089996	2.1044921875	0.947265625
0.092	2.431640625	1.1669921875
0.093996	2.744140625	1.8798828125
0.096	2.9296875	2.822265625
0.097996	2.8955078125	3.5693359375
0.1	2.67578125	3.8671875
0.101996	2.333984375	3.5546875
0.104	2.0263671875	2.783203125
0.105996	1.8701171875	1.85546875
0.108	1.9287109375	1.1474609375
0.110008	2.1826171875	0.95703125
0.112	2.5341796875	1.357421875
0.114	2.8271484375	2.1923828125
0.116	2.9541015625	3.125
0.118	2.8515625	3.7451171875
0.12	2.5634765625	3.818359375
0.122	2.2119140625	3.3154296875
0.123996	1.943359375	2.4267578125
0.126	1.8505859375	1.5234375
0.127996	2.001953125	0.9912109375
0.13	2.32421875	1.0498046875
0.131996	2.6611328125	1.6650390625
0.134	2.91015625	2.6025390625
0.135996	2.939453125	3.4423828125
0.138	2.7490234375	3.8623046875
0.139996	2.412109375	3.65234375
0.142	2.0654296875	2.9296875
0.143996	1.865234375	1.982421875
0.146	1.8896484375	1.2158203125
0.147996	2.1337890625	0.947265625
0.15	2.490234375	1.3037109375
0.151996	2.8125	2.1142578125
0.154004	2.9638671875	3.0712890625
0.156	2.8759765625	3.720703125
0.158	2.5830078125	3.8232421875
0.16	2.216796875	3.3154296875
0.162	1.9287109375	2.4169921875
0.164	1.8408203125	1.513671875
0.165996	1.9921875	0.9912109375
0.168	2.3291015625	1.07421875
0.169996	2.6904296875	1.7333984375
0.172	2.9345703125	2.685546875
0.173996	2.9541015625	3.515625
0.176	2.7294921875	3.8623046875
0.177996	2.36328125	3.5791015625
0.18	2.0166015625	2.7685546875
0.181996	1.8408203125	1.8212890625
0.184	1.904296875	1.11328125
0.185996	2.1923828125	0.9619140625
0.188	2.578125	1.4599609375
0.189996	2.87109375	2.353515625
0.192	2.9833984375	3.28125
0.193996	2.8271484375	3.818359375
0.196004	2.4853515625	3.73046875
0.198	2.1044921875	3.0517578125
0.2	1.8603515625	2.0947265625
0.202	1.85546875	1.26953125
0.204	2.0947265625	0.95703125
0.206	2.4658203125	1.26953125
0.208	2.8173828125	2.1044921875
0.209996	2.9833984375	3.0712890625
0.212	2.900390625	3.73046875
0.213996	2.578125	3.80859375
0.216	2.1875	3.2470703125
0.217996	1.89453125	2.314453125
0.22	1.81640625	1.4111328125
0.221996	2.01171875	0.9619140625
0.224	2.3779296875	1.1669921875
0.225996	2.7587890625	1.9189453125
0.228	2.9833984375	2.91015625
0.229996	2.939453125	3.671875
