Channel Accuracy: 10 Bits
Measurement Range 0...5V --> Resolution: 5V/2^10 = 4.9mV
Measured two channels at a Frequency of 500 Hz
Time (s)	Ch.1 (V)	Ch.2 (V)
0	2.861328125	2.314453125
0.001996	2.060546875	1.07421875
0.004	2.2119140625	3.4521484375
0.006	2.8955078125	2.9736328125
0.008	2.2509765625	0.9521484375
0.01	2.0263671875	2.861328125
0.012	2.8271484375	3.5400390625
0.014	2.490234375	1.1328125
0.016	1.9287109375	2.1875
0.017996	2.6611328125	3.837890625
0.02	2.6904296875	1.6064453125
0.021996	1.9384765625	1.54296875
0.024	2.4609375	3.828125
0.025996	2.841796875	2.2412109375
0.028	2.041015625	1.1181640625
0.029996	2.2314453125	3.505859375
0.032	2.8955078125	2.8857421875
0.033996	2.2216796875	0.9375
0.036	2.05078125	2.998046875
0.037996	2.8515625	3.4521484375
0.04	2.431640625	1.07421875
0.041996	1.93359375	2.34375
0.044	2.7197265625	3.779296875
0.045996	2.646484375	1.4501953125
0.048004	1.9287109375	1.7431640625
0.05	2.5341796875	3.8623046875
0.052	2.802734375	2.001953125
0.054	1.9921875	1.259765625
0.056	2.32421875	3.662109375
0.058	2.8857421875	2.626953125
0.06	2.1435546875	0.9814453125
0.061996	2.119140625	3.2373046875
0.064	2.8564453125	3.1982421875
0.065996	2.333984375	0.9716796875
0.068	1.9921875	2.6806640625
0.069996	2.79296875	3.642578125
0.072	2.5390625	1.2158203125
0.073996	1.923828125	2.060546875
0.076	2.63671875	3.837890625
0.077996	2.71484375	1.6552734375
0.08	1.943359375	1.5283203125
0.081996	2.4462890625	3.8232421875
0.084	2.83203125	2.2119140625
0.085996	2.041015625	1.1279296875
0.088	2.265625	3.564453125
0.089996	2.890625	2.8076171875
0.092004	2.1826171875	0.9521484375
0.094	2.0849609375	3.125
0.096	2.861328125	3.310546875
0.098	2.373046875	0.9912109375
0.1	1.97265625	2.578125
0.102	2.7685546875	3.6767578125
0.103996	2.5732421875	1.259765625
0.106	1.923828125	2.01171875
0.107996	2.6171875	3.857421875
0.11	2.7197265625	1.6796875
0.111996	1.953125	1.50390625
0.114	2.4560546875	3.8232421875
0.115996	2.8369140625	2.2119140625
0.118	2.03125	1.15234375
0.119996	2.265625	3.5791015625
0.122	2.8857421875	2.7392578125
0.123996	2.177734375	0.95703125
0.126	2.1142578125	3.1982421875
0.127996	2.87109375	3.232421875
0.13	2.3388671875	0.9716796875
0.131996	1.9873046875	2.7001953125
0.134004	2.79296875	3.5986328125
0.136	2.509765625	1.1669921875
0.138	1.9287109375	2.177734375
0.14	2.67578125	3.8232421875
0.142	2.6611328125	1.513671875
0.144	1.9287109375	1.69921875
0.145996	2.5146484375	3.8671875
0.148	2.7880859375	1.9677734375
0.149996	1.9921875	1.2890625
0.152	2.3583984375	3.720703125
0.153996	2.861328125	2.4658203125
0.156	2.0947265625	1.044921875
0.157996	2.1923828125	3.427734375
0.16	2.8857421875	2.9345703125
0.161996	2.2314453125	0.9521484375
0.164	2.0654296875	3.046875
0.165996	2.8515625	3.3642578125
0.168	2.3876953125	1.005859375
0.169996	1.9775390625	2.5732421875
0.172	2.7685546875	3.662109375
0.173996	2.5439453125	1.2255859375
0.176004	1.9287109375	2.1240234375
0.178	2.6513671875	3.8330078125
0.18	2.6708984375	1.5478515625
0.182	1.9384765625	1.6796875
0.184	2.51953125	3.8623046875
0.186	2.783203125	1.9580078125
0.188	1.9873046875	1.318359375
0.189996	2.36328125	3.740234375
0.192	2.8515625	2.3974609375
0.193996	2.080078125	1.07421875
0.196	2.2265625	3.5009765625
0.197996	2.880859375	2.8466796875
0.2	2.197265625	0.95703125
0.201996	2.0947265625	3.1591796875
0.204	2.8662109375	3.2275390625
0.205996	2.3291015625	0.9716796875
0.208	2.01171875	2.7685546875
0.209996	2.8076171875	3.5546875
0.212	2.470703125	1.0986328125
0.213996	1.953125	2.3388671875
0.216	2.7197265625	3.7548828125
0.217996	2.6025390625	1.34765625
0.220004	1.9384765625	1.943359375
0.222	2.6123046875	3.8623046875
0.224	2.71484375	1.650390625
0.226	1.9482421875	1.572265625
0.228	2.4853515625	3.84765625
0.23	2.7978515625	2.0263671875
0.231996	2.01171875	1.279296875
0.234	2.3583984375	3.7255859375
0.235996	2.8515625	2.431640625
0.238	2.0849609375	1.07421875
0.239996	2.2314453125	3.505859375
0.242	2.8759765625	2.79296875
0.243996	2.1875	0.9619140625
0.246	2.1240234375	3.2421875
0.247996	2.8662109375	3.1591796875
0.25	2.2900390625	0.9521484375
0.251996	2.041015625	2.8955078125
0.254	2.8271484375	3.4326171875
0.255996	2.4169921875	1.0302734375
0.258	1.97265625	2.5537109375
0.259996	2.763671875	3.671875
0.262004	2.5244140625	1.181640625
0.264	1.943359375	2.1923828125
0.266	2.685546875	3.8037109375
0.268	2.6318359375	1.416015625
0.27	1.9384765625	1.8505859375
0.272	2.578125	3.8671875
0.273996	2.7197265625	1.708984375
0.276	1.953125	1.5576171875
0.277996	2.4755859375	3.8427734375
0.28	2.7978515625	2.001953125
0.281996	1.9970703125	1.30859375
0.284	2.373046875	3.759765625
0.285996	2.841796875	2.3388671875
0.288	2.0654296875	1.123046875
0.289996	2.2705078125	3.5888671875
0.292	2.87109375	2.646484375
0.293996	2.138671875	1.0009765625
0.296	2.1826171875	3.3935546875
0.297996	2.8759765625	2.9541015625
0.3	2.2265625	0.9423828125
0.301996	2.099609375	3.1298828125
0.304004	2.8515625	3.1982421875
0.306	2.3095703125	0.95703125
0.308	2.0361328125	2.8759765625
0.31	2.8173828125	3.4326171875
0.312	2.4072265625	1.015625
0.314	1.9921875	2.5927734375
0.316	2.7685546875	3.6328125
0.317996	2.5048828125	1.15234375
0.32	1.953125	2.3095703125
0.321996	2.705078125	3.759765625
0.324	2.5830078125	1.298828125
0.325996	1.9482421875	2.0263671875
0.328	2.6416015625	3.828125
0.329996	2.666015625	1.5087890625
0.332	1.943359375	1.787109375
0.333996	2.5634765625	3.8720703125
0.336	2.724609375	1.708984375
0.337996	1.9677734375	1.5478515625
0.34	2.490234375	3.857421875
0.341996	2.7783203125	1.9580078125
0.344	1.9921875	1.3720703125
0.345996	2.412109375	3.7939453125
0.348004	2.822265625	2.177734375
0.35	2.0361328125	1.220703125
0.352	2.3291015625	3.7109375
0.354	2.8466796875	2.4169921875
0.356	2.080078125	1.09375
0.358	2.2607421875	3.5791015625
0.359996	2.861328125	2.65625
0.362	2.1337890625	1.0107421875
0.363996	2.197265625	3.4326171875
0.366	2.8662109375	2.8564453125
0.367996	2.1923828125	0.9521484375
0.37	2.1142578125	3.2763671875
0.371996	2.8564453125	3.06640625
