Channel Accuracy: 10 Bits
Measurement Range 0...5V --> Resolution: 5V/2^10 = 4.9mV
Measured two channels at a Frequency of 500 Hz
Time (s)	Ch.1 (V)	Ch.2 (V)
0	2.3193359375	0.9423828125
0.001996	2.2802734375	3.6328125
0.004	2.705078125	1.689453125
0.005996	2.0068359375	2.4072265625
0.008	2.8076171875	3.076171875
0.01	2.08984375	1.1962890625
0.012	2.5537109375	3.8671875
0.014	2.451171875	1.0400390625
0.016	2.177734375	3.3544921875
0.018	2.7685546875	2.099609375
0.02	1.9921875	2.001953125
0.021996	2.7587890625	3.427734375
0.024	2.177734375	1.0107421875
0.025996	2.44140625	3.84765625
0.028	2.55859375	1.23046875
0.029996	2.08984375	3.0126953125
0.032	2.8076171875	2.4853515625
0.033996	2.0166015625	1.640625
0.036	2.705078125	3.65234375
0.037996	2.28515625	0.9375
0.04	2.3486328125	3.75
0.041996	2.6513671875	1.4892578125
0.044	2.041015625	2.6904296875
0.045996	2.8125	2.8271484375
0.048	2.0458984375	1.38671875
0.049996	2.626953125	3.80859375
0.052004	2.3486328125	0.9521484375
0.054	2.255859375	3.59375
0.056	2.7099609375	1.748046875
0.058	2.001953125	2.3828125
0.06	2.802734375	3.0908203125
0.062	2.0947265625	1.19140625
0.063996	2.5537109375	3.8671875
0.066	2.4365234375	1.0205078125
0.067996	2.1826171875	3.3984375
0.07	2.7587890625	1.9921875
0.071996	1.9970703125	2.099609375
0.074	2.783203125	3.310546875
0.075996	2.1484375	1.0693359375
0.078	2.4951171875	3.8818359375
0.079996	2.509765625	1.1279296875
0.082	2.1435546875	3.2275390625
0.083996	2.7880859375	2.2314453125
0.086	2.001953125	1.9091796875
0.087996	2.7490234375	3.4765625
0.09	2.1875	1.0009765625
0.091996	2.4365234375	3.84765625
0.094004	2.5537109375	1.2109375
0.096	2.1044921875	3.0615234375
0.098	2.802734375	2.3974609375
0.1	2.0068359375	1.7578125
0.102	2.7197265625	3.57421875
0.104	2.2314453125	0.9619140625
0.106	2.392578125	3.818359375
0.107996	2.5927734375	1.3330078125
0.11	2.080078125	2.939453125
0.111996	2.802734375	2.5537109375
0.114	2.0166015625	1.6357421875
0.115996	2.7001953125	3.662109375
0.118	2.255859375	0.9423828125
0.119996	2.353515625	3.7841796875
0.122	2.6220703125	1.3916015625
0.123996	2.060546875	2.8271484375
0.126	2.8076171875	2.6318359375
0.127996	2.03125	1.5478515625
0.13	2.685546875	3.6962890625
0.131996	2.28515625	0.927734375
0.134	2.34375	3.7646484375
0.135996	2.6318359375	1.4599609375
0.138004	2.0556640625	2.783203125
0.14	2.8125	2.6806640625
0.142	2.0361328125	1.5234375
0.144	2.67578125	3.7060546875
0.146	2.2900390625	0.927734375
0.148	2.3388671875	3.75
0.149996	2.63671875	1.4697265625
0.152	2.0556640625	2.7783203125
0.153996	2.8076171875	2.705078125
0.156	2.0361328125	1.5283203125
0.157996	2.666015625	3.7158203125
0.16	2.28515625	0.9375
0.161996	2.333984375	3.75
0.164	2.626953125	1.435546875
0.165996	2.0556640625	2.79296875
0.168	2.802734375	2.65625
0.169996	2.0263671875	1.5478515625
0.172	2.685546875	3.681640625
0.173996	2.2802734375	0.9326171875
0.176	2.3583984375	3.7744140625
0.177996	2.6220703125	1.40625
0.180004	2.0703125	2.8857421875
0.182	2.8076171875	2.5732421875
0.184	2.03125	1.630859375
0.186	2.7001953125	3.6328125
0.188	2.2509765625	0.947265625
0.19	2.3828125	3.818359375
0.191996	2.587890625	1.3232421875
0.194	2.0849609375	2.98828125
0.195996	2.7978515625	2.4658203125
0.198	2.0166015625	1.7431640625
0.199996	2.71484375	3.5595703125
0.202	2.216796875	0.9765625
0.203996	2.4267578125	3.837890625
0.206	2.5537109375	1.2109375
0.207996	2.1142578125	3.1201171875
0.21	2.783203125	2.2802734375
0.211996	2.01171875	1.89453125
0.214	2.75390625	3.427734375
0.215996	2.177734375	1.0205078125
0.218	2.48046875	3.8623046875
0.219996	2.5048828125	1.11328125
0.222004	2.158203125	3.310546875
0.224	2.75390625	2.0703125
0.226	2.01171875	2.109375
0.228	2.7783203125	3.2470703125
0.23	2.1337890625	1.1279296875
0.232	2.5439453125	3.8671875
0.234	2.431640625	1.0107421875
0.235996	2.20703125	3.4765625
0.238	2.724609375	1.8310546875
0.239996	2.01171875	2.3583984375
0.242	2.79296875	3.0322265625
0.243996	2.080078125	1.2744140625
0.246	2.6123046875	3.8134765625
0.247996	2.3583984375	0.947265625
0.25	2.2900390625	3.662109375
0.251996	2.6708984375	1.5771484375
0.254	2.0458984375	2.685546875
0.255996	2.802734375	2.75390625
