Channel Accuracy: 10 Bits
Measurement Range 0...5V --> Resolution: 5V/2^10 = 4.9mV
Measured two channels at a Frequency of 2000 Hz
Time (s)	Ch.1 (V)	Ch.2 (V)
0	2.3291015625	0.9521484375
0.0005	2.3486328125	0.927734375
0.001	2.3681640625	0.927734375
0.0015	2.3974609375	0.9423828125
0.002	2.412109375	0.9716796875
0.0025	2.4365234375	1.025390625
0.003	2.451171875	1.0888671875
0.0035	2.4755859375	1.1767578125
0.004	2.4951171875	1.2841796875
0.0045	2.5146484375	1.38671875
0.005	2.529296875	1.5185546875
0.0055	2.5439453125	1.6552734375
0.006	2.55859375	1.806640625
0.0065	2.5732421875	1.953125
0.007	2.578125	2.109375
0.0075	2.578125	2.2802734375
0.008	2.587890625	2.451171875
0.0085	2.5927734375	2.6171875
0.009	2.59765625	2.7783203125
0.0095	2.5927734375	2.9248046875
0.01	2.5732421875	3.0810546875
0.010508	2.578125	3.2275390625
0.010996	2.5732421875	3.3544921875
0.011496	2.5537109375	3.4765625
0.012	2.5439453125	3.583984375
0.012504	2.51953125	3.6669921875
0.012996	2.5048828125	3.75
0.013496	2.490234375	3.8134765625
0.014	2.470703125	3.8525390625
0.014504	2.451171875	3.8818359375
0.014996	2.431640625	3.88671875
0.015496	2.412109375	3.876953125
0.016	2.3974609375	3.8330078125
0.016504	2.373046875	3.779296875
0.016996	2.3486328125	3.7158203125
0.017496	2.3291015625	3.6279296875
0.018	2.314453125	3.53515625
0.018504	2.294921875	3.41796875
0.018996	2.275390625	3.291015625
0.019496	2.265625	3.154296875
0.02	2.24609375	3.0078125
0.020504	2.2412109375	2.8466796875
0.020996	2.2265625	2.685546875
0.021496	2.216796875	2.5146484375
0.021996	2.2216796875	2.353515625
0.022496	2.2119140625	2.1875
0.022996	2.216796875	2.0263671875
0.023496	2.216796875	1.875
0.023996	2.2265625	1.71875
0.024496	2.2412109375	1.5673828125
0.024996	2.236328125	1.4404296875
0.025496	2.2509765625	1.3134765625
0.025996	2.2607421875	1.2109375
0.026496	2.2802734375	1.11328125
0.026996	2.294921875	1.044921875
0.027496	2.314453125	0.986328125
0.027996	2.3291015625	0.947265625
0.028496	2.3486328125	0.927734375
0.028996	2.373046875	0.9326171875
0.029496	2.392578125	0.947265625
0.029996	2.421875	0.9814453125
0.030496	2.4365234375	1.03515625
0.030996	2.4609375	1.1083984375
0.031496	2.48046875	1.1962890625
0.032	2.4951171875	1.3037109375
0.032504	2.5244140625	1.4208984375
0.032996	2.5341796875	1.5478515625
0.033496	2.548828125	1.6943359375
0.034	2.5634765625	1.845703125
0.034504	2.568359375	2.0166015625
0.034996	2.5830078125	2.16796875
0.035496	2.587890625	2.3388671875
0.036	2.5927734375	2.5048828125
0.036504	2.6025390625	2.67578125
0.036996	2.59765625	2.8466796875
0.037496	2.59765625	2.998046875
0.038	2.5830078125	3.154296875
0.0385	2.578125	3.2861328125
0.039	2.568359375	3.4228515625
0.039504	2.55859375	3.5302734375
0.039996	2.5390625	3.642578125
0.040496	2.51953125	3.720703125
0.041	2.509765625	3.7939453125
0.041504	2.4853515625	3.8427734375
0.041996	2.4560546875	3.8720703125
0.042496	2.44140625	3.88671875
0.043	2.421875	3.876953125
0.0435	2.392578125	3.8427734375
0.044	2.3779296875	3.798828125
0.0445	2.353515625	3.7353515625
0.045	2.3388671875	3.662109375
0.0455	2.3095703125	3.5546875
0.046	2.294921875	3.4423828125
0.0465	2.2802734375	3.3154296875
0.047	2.265625	3.1787109375
0.0475	2.255859375	3.02734375
0.048	2.24609375	2.8662109375
0.0485	2.2216796875	2.7099609375
0.049	2.216796875	2.5390625
0.0495	2.2119140625	2.3681640625
0.05	2.2119140625	2.2021484375
0.0505	2.2119140625	2.0361328125
0.051	2.216796875	1.875
0.0515	2.2216796875	1.71875
0.052	2.2265625	1.572265625
0.0525	2.236328125	1.4404296875
0.053	2.2509765625	1.30859375
0.053504	2.265625	1.1962890625
0.053996	2.275390625	1.1181640625
0.054496	2.294921875	1.03515625
0.055	2.314453125	0.9814453125
0.055504	2.333984375	0.9423828125
0.055996	2.3583984375	0.927734375
0.056496	2.3681640625	0.927734375
0.057	2.3974609375	0.947265625
0.057504	2.4267578125	0.986328125
0.057996	2.4462890625	1.044921875
0.058496	2.4658203125	1.1328125
0.059	2.4853515625	1.220703125
0.059504	2.5	1.337890625
0.059996	2.51953125	1.455078125
0.060496	2.548828125	1.591796875
0.061	2.55859375	1.748046875
0.061504	2.5732421875	1.904296875
0.061996	2.587890625	2.060546875
0.062496	2.587890625	2.2412109375
0.063	2.59765625	2.4169921875
0.063504	2.59765625	2.5830078125
0.063996	2.59765625	2.7490234375
0.064496	2.607421875	2.919921875
0.064996	2.59765625	3.0712890625
0.065496	2.587890625	3.2177734375
0.065996	2.578125	3.359375
0.066496	2.568359375	3.486328125
0.066996	2.548828125	3.5888671875
0.067496	2.5390625	3.69140625
0.067996	2.5146484375	3.759765625
0.068496	2.5	3.828125
0.068996	2.470703125	3.8623046875
0.069496	2.4560546875	3.88671875
0.069996	2.431640625	3.8818359375
0.070496	2.412109375	3.8623046875
0.070996	2.3876953125	3.818359375
0.071496	2.36328125	3.759765625
0.071996	2.34375	3.681640625
0.072496	2.3193359375	3.5888671875
0.072996	2.2998046875	3.4716796875
0.073496	2.2802734375	3.349609375
0.074004	2.265625	3.203125
0.074504	2.2509765625	3.056640625
0.074996	2.2412109375	2.8955078125
0.075504	2.2265625	2.734375
0.075996	2.216796875	2.5634765625
0.076496	2.2119140625	2.3876953125
0.077	2.2021484375	2.216796875
0.077504	2.2119140625	2.0458984375
0.077996	2.20703125	1.875
0.078496	2.216796875	1.7236328125
0.079	2.216796875	1.5673828125
0.079504	2.2314453125	1.435546875
0.079996	2.2412109375	1.30859375
0.080504	2.2607421875	1.201171875
0.080996	2.2802734375	1.11328125
0.081496	2.2900390625	1.0302734375
0.082	2.314453125	0.9765625
0.082504	2.333984375	0.9423828125
0.082996	2.3583984375	0.9326171875
0.083496	2.373046875	0.9326171875
0.084	2.4072265625	0.95703125
0.084504	2.431640625	0.99609375
0.084996	2.44140625	1.0693359375
0.0855	2.4755859375	1.1474609375
0.086	2.4951171875	1.2451171875
0.0865	2.509765625	1.357421875
0.087	2.5341796875	1.494140625
0.0875	2.548828125	1.630859375
0.088	2.5634765625	1.787109375
0.0885	2.578125	1.953125
0.089	2.5830078125	2.1240234375
0.0895	2.59765625	2.294921875
0.09	2.6025390625	2.4755859375
0.0905	2.607421875	2.646484375
0.091	2.6025390625	2.822265625
0.0915	2.6025390625	2.978515625
0.092	2.5927734375	3.1396484375
0.0925	2.587890625	3.2763671875
0.093	2.5732421875	3.41796875
0.0935	2.55859375	3.5400390625
0.094	2.548828125	3.6376953125
0.0945	2.529296875	3.73046875
0.095	2.5048828125	3.8037109375
0.095508	2.48046875	3.84765625
0.095996	2.470703125	3.8818359375
0.096496	2.44140625	3.88671875
0.097	2.4169921875	3.8671875
0.097504	2.3974609375	3.837890625
0.097996	2.3681640625	3.7841796875
0.098496	2.3486328125	3.7060546875
0.099	2.32421875	3.61328125
0.099504	2.3046875	3.5009765625
0.099996	2.28515625	3.3837890625
0.100496	2.265625	3.2421875
0.101	2.2509765625	3.0908203125
0.101504	2.24609375	2.9296875
0.101996	2.197265625	2.7783203125
0.102496	2.216796875	2.59765625
0.103	2.2119140625	2.421875
0.103504	2.197265625	2.2412109375
0.103996	2.20703125	2.0703125
0.104496	2.197265625	1.904296875
0.105	2.2021484375	1.7333984375
0.105504	2.216796875	1.5869140625
0.105996	2.2265625	1.4501953125
0.106496	2.2412109375	1.3232421875
0.106996	2.255859375	1.2109375
0.107496	2.2705078125	1.1083984375
0.107996	2.2900390625	1.03515625
0.108496	2.314453125	0.9814453125
0.108996	2.3388671875	0.9326171875
0.109496	2.36328125	0.91796875
0.109996	2.373046875	0.927734375
0.110496	2.4072265625	0.95703125
0.110996	2.4267578125	1.0009765625
0.111496	2.451171875	1.0693359375
0.111996	2.4755859375	1.1572265625
0.112496	2.4951171875	1.2548828125
0.112996	2.509765625	1.3818359375
0.113496	2.5341796875	1.5087890625
0.113996	2.55859375	1.6650390625
0.114496	2.5732421875	1.826171875
0.114996	2.587890625	1.9921875
0.115496	2.59765625	2.1630859375
0.115996	2.6025390625	2.34375
0.116496	2.6025390625	2.5244140625
0.117004	2.6171875	2.7001953125
0.117504	2.6123046875	2.880859375
0.117996	2.6025390625	3.0419921875
0.118504	2.5927734375	3.1982421875
0.118996	2.587890625	3.330078125
0.119496	2.5732421875	3.4619140625
0.12	2.55859375	3.57421875
0.120504	2.5390625	3.6767578125
0.120996	2.51953125	3.7646484375
0.121496	2.5048828125	3.818359375
0.122	2.48046875	3.8525390625
0.122504	2.4462890625	3.876953125
0.122996	2.431640625	3.8671875
0.123504	2.4072265625	3.8525390625
0.123996	2.3828125	3.8134765625
0.124496	2.36328125	3.740234375
0.125	2.333984375	3.6572265625
0.125504	2.314453125	3.5546875
0.125996	2.2900390625	3.4375
0.126496	2.265625	3.2958984375
0.127	2.2509765625	3.14453125
0.127504	2.2412109375	2.9931640625
0.127996	2.2265625	2.8271484375
0.1285	2.2119140625	2.646484375
0.129	2.20703125	2.4755859375
0.1295	2.1923828125	2.2998046875
0.13	2.2021484375	2.119140625
0.1305	2.1923828125	1.943359375
0.131	2.20703125	1.7724609375
0.1315	2.2119140625	1.62109375
0.132	2.2119140625	1.4794921875
0.1325	2.2265625	1.337890625
0.133	2.2509765625	1.220703125
0.1335	2.265625	1.1279296875
0.134	2.2802734375	1.0400390625
0.1345	2.3095703125	0.9814453125
0.135	2.3291015625	0.9423828125
0.1355	2.3583984375	0.927734375
0.136	2.3779296875	0.9326171875
0.1365	2.373046875	0.9521484375
