Channel Accuracy: 10 Bits
Measurement Range 0...5V --> Resolution: 5V/2^10 = 4.9mV
Measured two channels at a Frequency of 1000 Hz
Time (s)	Ch.1 (V)	Ch.2 (V)
0	3.0029296875	2.568359375
0.001	2.63671875	1.513671875
0.002	2.1435546875	0.9619140625
0.003	1.787109375	1.2158203125
0.004	1.7822265625	2.1240234375
0.005	2.1240234375	3.193359375
0.006	2.6220703125	3.80859375
0.007	2.9833984375	3.65234375
0.008	3.046875	2.802734375
0.009	2.7392578125	1.7236328125
0.01	2.2412109375	1.03515625
0.011	1.845703125	1.1083984375
0.012	1.7529296875	1.904296875
0.013	2.0263671875	2.9833984375
0.014	2.51953125	3.75
0.015	2.9296875	3.7548828125
0.016	3.06640625	3.0078125
0.017	2.8271484375	1.923828125
0.018	2.34375	1.11328125
0.019	1.904296875	1.025390625
0.02	1.748046875	1.7041015625
0.021	1.9482421875	2.79296875
0.022	2.421875	3.6474609375
0.022996	2.8662109375	3.818359375
0.023996	3.06640625	3.1884765625
0.024996	2.8955078125	2.1337890625
0.025996	2.44140625	1.2255859375
0.026996	1.9775390625	0.9716796875
0.027996	1.7431640625	1.5283203125
0.028996	1.8798828125	2.5927734375
0.029996	2.333984375	3.5302734375
0.030996	2.7978515625	3.8525390625
0.031996	3.0615234375	3.3544921875
0.032996	2.94921875	2.3193359375
0.033996	2.529296875	1.34765625
0.035004	2.0458984375	0.9521484375
0.036	1.7578125	1.396484375
0.037	1.845703125	2.4072265625
0.038	2.2412109375	3.41796875
0.039	2.734375	3.8525390625
0.04	3.037109375	3.4814453125
0.041	2.9931640625	2.4951171875
0.042	2.607421875	1.46484375
0.043	2.109375	0.9619140625
0.044	1.787109375	1.2744140625
0.045	1.8017578125	2.2314453125
0.046	2.16796875	3.2861328125
0.047	2.666015625	3.837890625
0.048	3.0078125	3.57421875
0.049	3.0224609375	2.65625
0.05	2.67578125	1.5869140625
0.051	2.1826171875	0.9814453125
0.052	1.8212890625	1.19140625
0.053	1.7822265625	2.0751953125
0.054	2.1044921875	3.1591796875
0.055	2.5927734375	3.8134765625
0.056	2.9736328125	3.662109375
0.057	3.0419921875	2.8076171875
