Channel Accuracy: 10 Bits
Measurement Range 0...5V --> Resolution: 5V/2^10 = 4.9mV
Measured two channels at a Frequency of 2000 Hz
Time (s)	Ch.1 (V)	Ch.2 (V)
0	2.1875	0.9521484375
0.0005	2.01171875	1.2158203125
0.001	1.93359375	1.7578125
0.001504	1.9580078125	2.4609375
0.001996	2.0947265625	3.134765625
0.002496	2.3095703125	3.65234375
0.003	2.548828125	3.8720703125
0.003504	2.7490234375	3.73046875
0.003996	2.8662109375	3.2861328125
0.004496	2.8759765625	2.6220703125
0.005	2.7783203125	1.8994140625
0.005504	2.587890625	1.3037109375
0.005996	2.3583984375	0.9814453125
0.006496	2.12890625	0.986328125
0.007	1.982421875	1.3427734375
0.007504	1.9189453125	1.9677734375
0.007996	1.9873046875	2.65625
0.008496	2.1484375	3.3056640625
0.009	2.3779296875	3.7451171875
0.009504	2.59765625	3.84765625
0.009996	2.7783203125	3.623046875
0.010496	2.87109375	3.095703125
0.011	2.8515625	2.392578125
0.011504	2.724609375	1.69921875
0.011996	2.5146484375	1.1865234375
0.012496	2.275390625	0.947265625
0.012996	2.0849609375	1.0546875
0.013496	1.953125	1.494140625
0.013996	1.93359375	2.1435546875
0.014496	2.0263671875	2.8662109375
0.014996	2.2119140625	3.466796875
0.015496	2.4462890625	3.8232421875
0.015996	2.666015625	3.828125
0.016496	2.8271484375	3.49609375
0.016996	2.8857421875	2.9052734375
0.017496	2.83203125	2.1923828125
0.017996	2.666015625	1.5283203125
0.018496	2.451171875	1.07421875
0.018996	2.2216796875	0.9375
0.019496	2.0361328125	1.162109375
0.019996	1.93359375	1.6796875
0.020496	1.943359375	2.36328125
0.020996	2.0703125	3.0615234375
0.021496	2.2802734375	3.6083984375
0.022004	2.5146484375	3.8525390625
0.022504	2.7197265625	3.7548828125
0.022996	2.8515625	3.330078125
0.023504	2.880859375	2.67578125
0.023996	2.79296875	1.97265625
0.024496	2.607421875	1.357421875
0.025	2.373046875	0.9912109375
0.025504	2.1484375	0.9765625
0.025996	1.97265625	1.2939453125
0.026496	1.923828125	1.8896484375
0.027	1.9677734375	2.607421875
0.027504	2.1337890625	3.2763671875
0.027996	2.3486328125	3.7255859375
0.028504	2.587890625	3.8671875
0.028996	2.7734375	3.65234375
0.029496	2.8662109375	3.1396484375
0.03	2.861328125	2.4365234375
0.030504	2.7294921875	1.73828125
0.030996	2.5341796875	1.201171875
0.031496	2.294921875	0.947265625
0.032	2.08984375	1.044921875
0.032504	1.9580078125	1.474609375
0.032996	1.93359375	2.109375
0.0335	1.9873046875	2.841796875
0.034	2.2119140625	3.45703125
0.0345	2.4365234375	3.8134765625
0.035	2.6611328125	3.8330078125
0.0355	2.8173828125	3.505859375
0.036	2.880859375	2.9052734375
0.0365	2.83203125	2.2021484375
0.037	2.67578125	1.5283203125
0.0375	2.451171875	1.0693359375
0.038	2.216796875	0.9375
0.0385	2.0361328125	1.1572265625
0.039	1.943359375	1.6845703125
0.0395	1.9482421875	2.373046875
0.04	2.0751953125	3.0810546875
0.0405	2.28515625	3.6181640625
0.041	2.51953125	3.8671875
0.0415	2.724609375	3.759765625
0.042	2.8515625	3.3203125
0.0425	2.87109375	2.6708984375
0.043	2.7734375	1.9384765625
0.043508	2.5830078125	1.328125
0.043996	2.3681640625	0.986328125
0.044496	2.138671875	0.9765625
