Channel Accuracy: 10 Bits
Measurement Range 0...5V --> Resolution: 5V/2^10 = 4.9mV
Measured two channels at a Frequency of 500 Hz
Time (s)	Ch.1 (V)	Ch.2 (V)
0	1.3720703125	2.9052734375
0.002	1.3720703125	2.9443359375
0.004	1.376953125	2.9638671875
0.006	1.38671875	2.96875
0.008	1.3818359375	2.978515625
0.009996	1.3720703125	2.9833984375
0.012	1.376953125	2.978515625
0.013996	1.3623046875	2.9931640625
0.016	1.3671875	2.9931640625
0.017996	1.3623046875	0.0
0.02	1.3671875	0.0
0.021996	1.3623046875	0.0
0.024	1.357421875	0.0
0.025996	1.3623046875	0.2294921875
0.028	1.3623046875	0.6103515625
0.029996	1.3525390625	0.9814453125
0.032	1.337890625	1.357421875
0.033996	1.34765625	1.7138671875
0.036	1.3525390625	2.0361328125
0.037996	1.3525390625	2.3046875
0.040004	1.337890625	2.51953125
0.042	1.3232421875	2.6708984375
0.044	1.3232421875	2.7783203125
0.046	1.337890625	2.8564453125
0.048	1.3330078125	2.900390625
0.05	1.3232421875	2.939453125
0.051996	1.30859375	2.9541015625
0.054	1.298828125	2.9638671875
0.055996	1.3037109375	2.96875
0.058	1.2939453125	2.9833984375
0.059996	1.2939453125	2.9931640625
0.062	1.2939453125	2.9833984375
0.063996	1.2841796875	2.998046875
0.066	1.2890625	2.9931640625
0.067996	1.2744140625	2.998046875
0.07	1.279296875	2.998046875
0.071996	1.2744140625	2.9833984375
0.074	1.279296875	2.9931640625
0.075996	1.2646484375	2.9931640625
0.078	1.2744140625	2.9931640625
0.079996	1.2548828125	2.98828125
0.082004	1.25	2.9931640625
0.084	1.2451171875	2.998046875
0.086	1.2451171875	2.9931640625
0.088	1.240234375	0.0
0.09	1.2451171875	0.0
0.092	1.240234375	0.0
0.094	1.2353515625	0.0
0.095996	1.23046875	0.0
0.098	1.23046875	0.0
0.099996	1.2353515625	0.0
0.102	1.240234375	0.0
0.103996	1.23046875	0.0
0.106	1.2353515625	0.0
0.107996	1.2158203125	0.0
0.11	1.2255859375	0.0
0.111996	1.23046875	0.33203125
0.114	1.2353515625	0.6982421875
0.115996	1.240234375	1.0791015625
0.118	1.240234375	1.4453125
0.119996	1.23046875	1.796875
0.122	1.23046875	2.1142578125
0.123996	1.2353515625	2.3681640625
0.126004	1.23046875	2.5634765625
0.128	1.23046875	2.705078125
0.13	1.2353515625	2.7978515625
0.132	1.240234375	2.8662109375
0.134	1.2451171875	2.9150390625
0.136	1.240234375	2.939453125
0.137996	1.2353515625	2.958984375
0.14	1.2353515625	2.978515625
0.141996	1.25	2.978515625
0.144	1.2548828125	2.98828125
0.145996	1.2548828125	2.9833984375
0.148	1.25	2.9931640625
0.149996	1.2548828125	2.9833984375
0.152	1.2548828125	2.98828125
0.153996	1.2646484375	2.98828125
0.156	1.2744140625	2.9931640625
0.157996	1.2744140625	2.9931640625
0.16	1.259765625	2.998046875
0.161996	1.26953125	2.9931640625
0.164	1.26953125	0.0
0.165996	1.2744140625	0.0
0.168004	1.279296875	0.0
0.17	1.2841796875	0.0
0.172	1.2841796875	0.0
0.174	1.2890625	0.0
0.176	1.2890625	0.0
0.178	1.2939453125	0.0
0.179996	1.2939453125	0.0
0.182	1.3037109375	0.0
0.183996	1.30859375	0.0
0.186	1.3134765625	0.3759765625
0.187996	1.3037109375	0.7373046875
0.19	1.3134765625	1.11328125
0.191996	1.30859375	1.4794921875
0.194	1.30859375	1.8212890625
0.195996	1.3134765625	2.138671875
0.198	1.30859375	2.3876953125
0.199996	1.3232421875	2.5634765625
0.202	1.298828125	2.7099609375
0.203996	1.3134765625	2.8076171875
0.206	1.3134765625	2.8662109375
0.207996	1.30859375	2.919921875
0.210004	1.318359375	2.9443359375
0.212	1.3232421875	2.958984375
0.214	1.3134765625	2.9736328125
0.216	1.3134765625	2.9736328125
0.218	1.30859375	2.98828125
0.22	1.3037109375	2.98828125
0.222	1.298828125	2.998046875
0.223996	1.30859375	2.998046875
0.226	1.3134765625	2.9931640625
0.227996	1.318359375	2.998046875
0.23	1.3134765625	2.998046875
0.231996	1.30859375	0.0
0.234	1.298828125	0.0
0.235996	1.3134765625	0.0
0.238	1.3037109375	0.0
0.239996	1.298828125	0.0
0.242	1.298828125	0.0
0.243996	1.3037109375	0.0
0.246	1.298828125	0.0
0.247996	1.298828125	0.0
0.25	1.298828125	0.0927734375
0.251996	1.3037109375	0.458984375
0.254004	1.298828125	0.830078125
0.256	1.298828125	1.2060546875
0.258	1.3037109375	1.5771484375
0.26	1.3037109375	1.9140625
0.262	1.2939453125	2.20703125
0.264	1.298828125	2.44140625
0.265996	1.2841796875	2.6171875
0.268	1.2939453125	2.744140625
0.269996	1.2939453125	2.822265625
0.272	1.2841796875	2.8759765625
0.273996	1.2890625	2.9248046875
0.276	1.2890625	2.94921875
0.277996	1.2890625	2.96875
0.28	1.2939453125	2.96875
0.281996	1.2841796875	2.978515625
0.284	1.2890625	2.98828125
0.285996	1.279296875	2.9931640625
0.288	1.2646484375	2.9931640625
0.289996	1.26953125	2.9931640625
0.292	1.2744140625	2.9931640625
0.293996	1.2744140625	2.9931640625
0.296004	1.26953125	2.98828125
0.298	1.2646484375	2.9931640625
0.3	1.240234375	2.98828125
0.302	1.25	2.998046875
0.304	1.240234375	2.9931640625
0.306	1.240234375	0.0
0.307996	1.23046875	0.0
0.31	1.2255859375	0.0
0.311996	1.2255859375	0.0
0.314	1.2158203125	0.0
0.315996	1.2060546875	0.0
